building_id,primary_assignment,formula_assignment,size_rule_assignment,override_assignment,override_evidence,override_applied,map_assignment,fm_dense_footprint_inside_point_count,fm_dense_inside_z_median_m,conditional_generation_target,learning_runs_started,new_inference_type
DEBY_LOD2_4907018,outline_only,outline_only,outline_only,,,false,outline_only,0,,true,0,R1prime-3_FM_dense_dial_2px
DEBY_LOD2_4907024,outline_only,outline_only,outline_only,,,false,outline_only,0,,true,0,R1prime-3_FM_dense_dial_2px
DEBY_LOD2_4907199,well_textured,textureless_correspondence_anchored,textureless_correspondence_anchored,textureless_correspondence_anchored,B-1_measured_flat_seed(FM 앵커 373·456점·W_밤샘3과제_검수_20260717 §3-1),true,textureless_correspondence_anchored,373,-34.347425,true,0,R1prime-3_FM_dense_dial_2px
DEBY_LOD2_4908162,well_textured,outline_only,outline_only,,,false,outline_only,0,,true,0,R1prime-3_FM_dense_dial_2px
DEBY_LOD2_8568391,well_textured,textureless_correspondence_anchored,textureless_correspondence_anchored,textureless_correspondence_anchored,B-1_measured_flat_seed(FM 앵커 373·456점·W_밤샘3과제_검수_20260717 §3-1),true,textureless_correspondence_anchored,456,-40.667009,true,0,R1prime-3_FM_dense_dial_2px
