building_id,arm,clip_source,clip_path,clip_note,crs_xy,z_datum_history,footprint_area_m2,n_points_footprint,pt_density_m2,density_valid,density_reason,status_input,status_rf_pt_density,status_density_delta,grid_cell_m,grid_n_cells,grid_occupied_cells,coverage_frac,hole_frac,coverage_valid,coverage_reason,status_rf_nodata_frac,status_hole_delta,status_compare_note,roof_point_count,ground_point_count,local_plane_radius_m,local_plane_rms_m,local_plane_core_count,local_plane_valid,local_plane_reason,m3c2_normal_radius_m,m3c2_proj_radius_m,m3c2_core_count,m3c2_mean_m,m3c2_median_abs_m,m3c2_rms_m,m3c2_valid,m3c2_reason,ref_valid_345,ref_invalid_reason,ref_roof_surface_count,ref_lookup_miss_frac,floater_margin_m,floater_count,floater_frac,floater_valid,floater_reason,label_proxy_roof_minus_m,ground_high_count,label_proxy_frac_all,label_proxy_frac_ground,label_proxy_valid,label_proxy_reason,v1_clip_source,v1_m3c2_reason,v1_1_changed_axes,v1_1_change_reason,v1_1_height_constant_m,v1_1_height_constant_source,datum_shift_from_v1_m,source_laz_path,v1_2_changed_axes,v1_2_change_reason,v1_2_dense_fallback_shift_m,v1_2_shift_source,readout,v1_3_run_id,v1_3_source_status_csv
DEBY_LOD2_4959459,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),372.991800,146367,392.413453,true,ok,none,none,none,0.500000,1494,1494,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,144905,1462,0.750000,0.241134,3000,true,ok,1.000000,0.750000,2500,-1.749554,1.869066,2.135397,true,ok,true,none,2,0.000000,3.000000,27766,0.189701,true,ok,1.000000,0,0.000000,0.000000,true,ok,fallback_fused_acmp_footprint_clip,ok,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959459,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959459_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",372.991800,6173,16.549962,true,ok,ALS,16.080320,0.469642,0.500000,1494,1494,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,6166,7,0.750000,0.159405,2992,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,2,0.000000,3.000000,314,0.050867,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959459_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959460,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,4699.408800,2277395,484.613086,true,ok,DIM,461.568329,23.044757,0.500000,18796,18796,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,1686897,590498,0.750000,0.196150,3000,true,ok,1.000000,0.750000,2410,-0.019658,0.080845,0.473929,true,ok,true,none,3,0.000025,3.000000,26127,0.011472,true,ok,1.000000,523584,0.229905,0.886682,true,ok,missing_clip,insufficient_source_roof_points,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;ground_point_count;local_plane_rms_m;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac;label_proxy_frac_all;label_proxy_frac_ground;density_reason;coverage_reason;m3c2_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_valid;floater_count;floater_frac;floater_valid;ground_high_count;label_proxy_frac_all;label_proxy_frac_ground;label_proxy_valid,dense_fallback_height_frame_repaired_ref_dependent_axes,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_4959460,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),4699.408800,1343627,285.914049,true,ok,none,none,none,0.500000,18796,18796,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,756143,587484,0.750000,0.201079,2996,true,ok,1.000000,0.750000,1986,-2.127997,2.231391,2.659748,true,ok,true,none,3,0.000063,3.000000,576,0.000429,true,ok,1.000000,7898,0.005878,0.013444,true,ok,fallback_fused_acmp_footprint_clip,ok,label_proxy_frac_all;label_proxy_frac_ground,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959460,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959460_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",4699.408800,67710,14.408195,true,ok,ALS,14.249721,0.158474,0.500000,18796,18776,0.998936,0.001064,true,ok,0.000851,0.000213,direct_comparison_same_arm_metric_not_identical_grid,41348,26362,0.750000,0.106033,2967,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,3,0.000030,3.000000,726,0.010722,true,ok,1.000000,24929,0.368173,0.945641,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959460_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959461,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,906.402100,158396,174.752464,true,ok,DIM,162.683350,12.069114,0.500000,3625,3598,0.992552,0.007448,true,ok,0.007724,-0.000276,direct_comparison_same_arm_metric_not_identical_grid,158009,387,0.750000,0.174609,3000,true,ok,1.000000,0.750000,2491,-0.071595,0.115744,1.002853,true,ok,true,none,7,0.000025,3.000000,1222,0.007715,true,ok,1.000000,0,0.000000,0.000000,true,ok,missing_clip,insufficient_source_roof_points,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;ground_point_count;local_plane_rms_m;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac;label_proxy_frac_all;label_proxy_frac_ground;density_reason;coverage_reason;m3c2_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_valid;floater_count;floater_frac;floater_valid;label_proxy_valid,dense_fallback_height_frame_repaired_ref_dependent_axes,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_4959461,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),906.402100,262998,290.155991,true,ok,none,none,none,0.500000,3625,3625,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,260897,2101,0.750000,0.159602,3000,true,ok,1.000000,0.750000,2500,-2.587605,2.265975,3.360607,true,ok,true,none,7,0.000586,3.000000,56,0.000213,true,ok,1.000000,0,0.000000,0.000000,true,ok,fallback_fused_acmp_footprint_clip,ok,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959461,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959461_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",906.402100,10240,11.297414,true,ok,ALS,11.240254,0.057160,0.500000,3625,3616,0.997517,0.002483,true,ok,0.002207,0.000276,direct_comparison_same_arm_metric_not_identical_grid,10240,0,0.750000,0.111831,2990,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,7,0.000000,3.000000,3,0.000293,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4959461_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_4959463,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,61.306442,8531,139.153403,true,ok,DIM,130.622955,8.530448,0.500000,244,244,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,8460,71,0.750000,0.194967,3000,true,ok,1.000000,0.750000,1217,0.120303,0.050331,0.385676,true,ok,true,none,1,0.000000,3.000000,1355,0.158832,true,ok,1.000000,0,0.000000,0.000000,true,ok,missing_clip,insufficient_source_roof_points,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;ground_point_count;local_plane_rms_m;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac;label_proxy_frac_all;label_proxy_frac_ground;density_reason;coverage_reason;m3c2_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_valid;floater_count;floater_frac;floater_valid;label_proxy_valid,dense_fallback_height_frame_repaired_ref_dependent_axes,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_4959463,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),61.306442,11892,193.976352,true,ok,none,none,none,0.500000,244,244,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,11707,185,0.750000,0.249619,3000,true,ok,1.000000,0.750000,1217,-1.203611,1.752455,1.569032,true,ok,true,none,1,0.000000,3.000000,1325,0.111419,true,ok,1.000000,0,0.000000,0.000000,true,ok,fallback_fused_acmp_footprint_clip,ok,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
