building_id,frame_pos,frame_r,view_nadir,n_als,als_off_px,als_off_m,lod2_off_px,lod2_off_m,als_dE,als_dN,als_rms_px,lod2_rms_px,view
DEBY_LOD2_4906972,center,0.31,3.7,12270,1.8,0.051,1.6,0.045,-0.048,0.017,14.6,13.5,DJI_20241217084405_0046_D.JPG
DEBY_LOD2_4906972,edge,0.97,24.0,12270,9.5,0.284,7.2,0.217,-0.245,0.144,13.9,13.5,DJI_20241217084345_0036_D.JPG
DEBY_LOD2_4907520,center,0.21,1.2,5613,3.0,0.086,5.2,0.15,0.057,0.064,14.1,11.6,DJI_20241217084345_0036_D.JPG
DEBY_LOD2_4907520,edge,1.04,24.8,5613,2.6,0.052,1.4,0.029,-0.052,-0.004,14.3,13.8,DJI_20241217094949_0021_D.JPG
DEBY_LOD2_4959327,center,0.44,8.1,7975,6.1,0.176,4.5,0.13,0.079,0.157,13.4,13.1,DJI_20241217091013_0069_D.JPG
DEBY_LOD2_4959327,edge,1.02,24.2,7975,0.6,0.018,2.3,0.069,0.017,-0.008,14.3,13.8,DJI_20241217091209_0127_D.JPG
DEBY_LOD2_4906985,center,0.43,8.2,11106,2.0,0.054,4.4,0.122,0.04,0.036,14.6,13.6,DJI_20241217090935_0050_D.JPG
DEBY_LOD2_4906985,edge,1.06,21.9,11106,4.4,0.124,1.5,0.043,-0.069,-0.103,13.4,12.9,DJI_20241217090823_0014_D.JPG
DEBY_LOD2_4959460,center,0.95,14.2,98830,1.0,0.031,2.7,0.078,-0.026,-0.017,13.8,14.0,DJI_20241217091039_0082_D.JPG
DEBY_LOD2_4959460,edge,1.14,18.1,98830,1.9,0.057,2.7,0.078,0.051,0.025,14.2,13.7,DJI_20241217084503_0075_D.JPG
DEBY_LOD2_4907184,center,0.6,16.1,9397,1.2,0.033,4.9,0.142,0.026,0.02,13.6,13.6,DJI_20241217084849_0188_D.JPG
DEBY_LOD2_4907184,edge,1.12,14.6,9397,3.5,0.065,8.6,0.163,0.063,-0.017,15.2,14.6,DJI_20241217095529_0047_D.JPG
DEBY_LOD2_4906966,center,0.77,4.2,38724,2.8,0.077,3.5,0.096,-0.07,-0.033,13.3,12.9,DJI_20241217084853_0190_D.JPG
DEBY_LOD2_4906966,edge,1.29,8.8,38724,5.3,0.108,3.3,0.071,0.104,-0.031,14.2,13.7,DJI_20241217103111_0012_D.JPG
DEBY_LOD2_4906982,center,0.48,2.9,16114,1.6,0.043,3.4,0.091,-0.004,-0.043,14.8,14.2,DJI_20241217084805_0166_D.JPG
DEBY_LOD2_4906982,edge,1.11,20.0,16114,2.1,0.058,2.8,0.079,0.016,0.055,13.2,14.2,DJI_20241217084823_0175_D.JPG
