building_id,texture_low_gradient_fraction,texture_grad_p10,dense_point_count,dense_point_density_m2,coverage_frac,n_views_nadir,frac_views_incidence_le60,recon_score_median,footprint_area_m2,manual_split,expected_tier,primary_assignment,primary_rule_path,fm_status,fm_selected_pair_count,fm_successful_pair_count,fm_excluded_pair_count,fm_failed_pair_count,fm_pending_pair_count,fm_correspondence_count,fm_z_median_m,fm_z_mad_m,fm_score,fm_count_threshold,outline_observable,formula_assignment,map_assignment,assignment_record_status,conditional_generation_target,dense_assembled,calibration_seed,learning_runs_started
DEBY_LOD2_104583447,0.486000,0.003900,122.000000,20.058861,0.500000,1.800000,0.254000,113.072000,6.082000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,846,532.157727,0.082584,0.076533,1146,true,outline_only,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_104583794,0.300000,0.008800,0.000000,0.000000,0.000000,0.000000,0.109000,72.081000,6.389000,calibration,well_textured,well_textured,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:le,,,,,,,,,,,1146,true,well_textured,indeterminate_small,complete,false,0,20260718,0
DEBY_LOD2_104586480,0.269000,0.010600,5508.000000,372.897880,1.000000,13.290000,0.422000,217.608000,14.770000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,5536,515.133879,0.068434,0.235916,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,0,20260718,0
DEBY_LOD2_107802038,0.751000,0.003900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,388.477000,not_manual,,well_textured,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:le,,,,,,,,,,,1146,true,well_textured,well_textured,complete,false,0,20260718,0
DEBY_LOD2_107807336,0.547000,0.005500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.627000,not_manual,,well_textured,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:le,,,,,,,,,,,1146,true,well_textured,well_textured,complete,false,0,20260718,0
DEBY_LOD2_108246888,0.470000,0.007800,1350.000000,96.696213,0.946429,0.000000,0.292000,83.840000,13.961000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,6615,518.771864,0.286000,0.382193,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_108247350,0.490000,0.006200,13.000000,1.071100,0.125000,0.000000,0.098000,67.515000,12.137000,validation,well_textured,well_textured,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:le,,,,,,,,,,,1146,true,well_textured,indeterminate_small,complete,false,0,20260718,0
DEBY_LOD2_108247351,0.549000,0.005900,11.000000,0.168509,0.030769,0.000000,0.106000,74.873000,65.279000,calibration,outline_only,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,0,,,0.000000,1146,true,outline_only,outline_only,complete,true,0,20260718,0
DEBY_LOD2_108250120,0.546000,0.006200,407.000000,8.693210,0.308511,1.110000,0.188000,123.376000,46.818000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,6927,521.168743,5.152373,0.316895,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_108580335,0.304000,0.008100,153624.000000,150.483357,1.000000,4.530000,0.168000,110.809000,1020.875000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,4186,530.445214,0.455597,0.382423,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_108580336,0.288000,0.007100,1756363.000000,365.950712,1.000000,2.510000,0.121000,69.916000,4799.469000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,3163,536.422780,5.448025,0.149650,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_42364607,0.374000,0.004400,0.000000,0.000000,0.000000,0.000000,0.119000,81.117000,90.441000,validation,well_textured,well_textured,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:le,,,,,,,,,,,1146,true,well_textured,well_textured,complete,false,0,20260718,0
DEBY_LOD2_42364609,0.546000,0.006200,506.000000,30.768567,0.835821,0.000000,0.244000,114.120000,16.445000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,10811,517.461935,0.110847,0.460945,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,0,20260718,0
DEBY_LOD2_42364657,0.382000,0.006200,5984.000000,55.768340,0.990676,0.000000,0.156000,81.005000,107.301000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,6032,517.407257,0.142536,0.253339,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_42364659,0.522000,0.006200,6743.000000,102.012683,1.000000,10.670000,0.307000,197.061000,66.102000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,8855,517.020561,0.420886,0.358502,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,0,20260718,0
DEBY_LOD2_42364663,0.446000,0.004400,100215.000000,2373.928558,1.000000,4.830000,0.225000,143.837000,42.215000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,346,531.135370,1.814334,0.017102,1146,true,outline_only,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_42364665,0.520000,0.004400,46684.000000,947.378910,1.000000,4.170000,0.256000,154.321000,49.277000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,2869,525.678875,0.292911,0.128660,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_42364667,0.567000,0.004400,68673.000000,1502.521536,1.000000,4.160000,0.307000,147.648000,45.705000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,3460,525.797913,0.313099,0.159469,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_4906965,0.603000,0.002800,3374580.000000,1287.380232,1.000000,4.150000,0.367000,128.726000,2621.250000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,9,1,0,0,3109,536.038465,3.226125,0.250423,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906966,0.537000,0.004400,1900822.000000,1322.751904,1.000000,4.790000,0.275000,119.250000,1437.016000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,2377,534.105523,1.085974,0.123680,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906967,0.444000,0.004400,2037552.000000,793.410241,0.998832,4.720000,0.292000,136.418000,2568.094000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,17404,532.337994,3.797112,0.595803,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906968,0.768000,0.007100,765536.000000,429.739349,0.982599,3.830000,0.237000,105.376000,1781.398000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,1607,538.073273,0.842909,0.180785,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906969,0.506000,0.004400,44004.000000,253.812538,1.000000,4.310000,0.176000,124.098000,173.375000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,14956,526.791341,2.862601,0.579218,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906970,0.533000,0.002000,129621.000000,839.021106,1.000000,4.100000,0.493000,180.271000,154.490000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,14196,534.308369,1.364884,0.523143,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906972,0.125000,0.018500,155102.000000,418.050661,1.000000,6.970000,0.378000,158.726000,371.016000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,15110,533.303250,1.013434,0.551259,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906973,0.633000,0.004400,11718.000000,211.917512,1.000000,6.700000,0.275000,167.405000,55.297000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,10284,519.276361,0.219073,0.470879,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906974,0.380000,0.007100,101961.000000,323.343791,1.000000,6.270000,0.200000,148.320000,315.332000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,5724,525.782023,0.200817,0.242769,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906975,0.574000,0.005900,425991.000000,235.922789,0.999862,4.290000,0.198000,141.185000,1805.656000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,2394,530.274258,0.845238,0.188667,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906976,0.311000,0.008100,169327.000000,620.053046,1.000000,3.170000,0.256000,150.624000,273.078000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,13490,534.128390,1.166509,0.544149,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906977,0.727000,0.003900,138272.000000,260.513362,1.000000,2.850000,0.177000,97.379000,530.766000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,1852,535.987635,0.898364,0.239772,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906980,0.576000,0.004400,11341.000000,252.434813,0.977778,4.700000,0.161000,126.712000,44.926000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,6885,533.302170,0.589475,0.406915,1146,true,textureless_correspondence_anchored,indeterminate_small,complete,false,1,20260718,0
DEBY_LOD2_4906981,0.498000,0.005900,802816.000000,565.367899,1.000000,3.290000,0.162000,94.678000,1419.988000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,2391,536.617436,0.976706,0.207318,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906982,0.238000,0.011100,524812.000000,378.815324,1.000000,9.140000,0.309000,193.475000,1385.406000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,5111,537.025674,0.277960,0.532840,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906983,0.538000,0.004400,140474.000000,150.596106,1.000000,4.870000,0.261000,133.168000,932.787000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,59,533.386612,4.016353,0.013834,1146,true,outline_only,outline_only,complete,true,1,20260718,0
DEBY_LOD2_4906984,0.772000,0.003900,20397.000000,82.770895,1.000000,4.890000,0.322000,141.742000,246.428000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,12546,519.909122,0.270368,0.464340,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906985,0.254000,0.011400,158631.000000,181.126329,1.000000,3.080000,0.224000,83.287000,875.803000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,6685,538.064426,0.258413,0.746094,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906986,0.541000,0.004400,29991.000000,126.957601,1.000000,4.540000,0.214000,119.621000,236.227000,not_manual,,outline_only,texture_low_gradient_fraction<=0.518:gt|recon_score_median<=64.834:gt,complete,10,10,0,0,0,8163,529.548950,0.297373,0.351339,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906987,0.381000,0.004400,32641.000000,141.012246,1.000000,8.130000,0.227000,124.032000,231.477000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,10374,529.523221,0.288617,0.401937,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906988,0.335000,0.006200,9620.000000,73.438478,1.000000,4.950000,0.202000,115.552000,130.994000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,7323,526.721049,0.242957,0.389832,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906989,0.308000,0.008300,28795.000000,89.729170,0.685892,1.560000,0.262000,69.829000,320.910000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,1382,535.963590,0.921548,0.242371,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906991,0.240000,0.009800,9947.000000,59.320778,1.000000,3.010000,0.095000,87.630000,167.684000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,11962,527.017742,0.296396,0.449530,1146,true,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,true,1,20260718,0
DEBY_LOD2_4906998,0.478000,0.004400,14119.000000,43.264607,0.533231,0.000000,0.348000,22.571000,326.336000,not_manual,,textureless_correspondence_anchored,texture_low_gradient_fraction<=0.518:le|dense_point_count<=105.5:gt,complete,10,10,0,0,0,0,,,0.000000,1146,true,outline_only,outline_only,complete,true,1,20260718,0
