building_id,band_width_m,source,source_role,view_aggregation,visible_view_count,upper_nonempty_view_count,visible_views,all_count,upper_count,upper_z_median_local_m,upper_z_mad_m,upper_z_std_m,ground_z_q10_local_m,reference_roof_z_local_m,abs_delta_z_ref_m,multiview_candidate_count,multiview_pass_count,multiview_pass_rate,multiview_method,alpha_threshold,per_view_all_counts,per_view_upper_counts,crs,z_frame,gt_role
DEBY_LOD2_8568391,0.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,1,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,-28.341666,0.081126,0.393301,-38.430000,-40.782000,12.440334,,,,not_applicable_render_inventory,0.500000,0;0;1070,0;0;1070,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.000000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,3,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,65.000000,65.000000,-35.898101,0.030656,0.044039,-38.430000,-40.782000,4.883899,,,,not_applicable_render_inventory,0.500000,65;56;2180,65;56;2180,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,3,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,208.000000,208.000000,-35.863887,0.052131,0.079098,-38.430000,-40.782000,4.918113,,,,not_applicable_render_inventory,0.500000,208;199;3347,208;199;3347,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,0.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.000000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,7.000000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,11;9;8;6;0;0,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,63.500000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,51;85;84;76;0;0,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,275.000000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,284;287;288;266;0;2,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,0.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,1,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,-28.047152,0.153656,0.209310,-38.430000,-40.782000,12.734848,,,,not_applicable_render_inventory,0.500000,0;0;1763,0;0;1763,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.000000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,1,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,-28.035614,0.165053,0.224049,-38.430000,-40.782000,12.746386,,,,not_applicable_render_inventory,0.500000,0;0;3557,0;0;3557,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,3,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,53.000000,53.000000,-35.920722,0.005115,0.006803,-38.430000,-40.782000,4.861278,,,,not_applicable_render_inventory,0.500000,41;53;5359,41;53;5359,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,0.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.000000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.500000,render_arm1p_r2,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,2,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,59.000000,59.000000,-35.914661,0.005774,0.007781,-40.428001,-40.927000,5.012339,,,,not_applicable_render_inventory,0.500000,65;59;0,65;59;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
