arm,replicate,run_name,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,DEBY_LOD2_4908178,0,,,
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,DEBY_LOD2_4907184,2863,582.9296,6.8868,0.9620
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4907202,14,575.1576,0.2369,0.1569
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4908168,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,5000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4907184,6466,582.4574,1.6872,0.1326
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4907202,7,575.8485,0.3443,0.2015
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4908168,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,10000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4907184,4698,582.5466,1.6365,0.2675
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4907202,1,578.0612,0.0000,0.0100
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4908168,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,15000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4907184,3277,583.1063,1.6730,0.0100
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4907202,10,581.2889,0.3314,0.0316
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4908168,3,580.5841,0.0689,0.1557
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,20000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4907184,3157,583.0522,1.6946,0.3367
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,25000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_025000.pt,DEBY_LOD2_4907202,10,581.2913,0.3465,0.0039
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,25000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_025000.pt,DEBY_LOD2_4908168,3,580.5501,0.0759,0.0137
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,25000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_025000.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,25000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/step_025000.pt,DEBY_LOD2_4907184,3158,582.9759,1.6903,0.7741
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt,DEBY_LOD2_4907202,10,581.2913,0.3464,0.0039
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt,DEBY_LOD2_4908168,3,580.5507,0.0745,0.0153
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt,DEBY_LOD2_4908178,0,,,
arm1,r2,gs_e5_C001_s2_arm1_dense_r2,30000,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt,DEBY_LOD2_4907184,3160,582.8023,1.6698,0.9412
