arm,replicate,run_name,configuration,has_lod22,valid_assembled,invalid_assembled,median_ref_rms_m,good6_all_built,good6_raw_anchor_count,good6_median_delta_vs_s1_m,good6_max_delta_vs_s1_m,good6_catastrophe_count,final_n_gaussians,s0_dense_x2_threshold,count_le_s0_x2,rend_dist_mean_tail_m,rend_dist_status,pareto_guardrail,pareto_accuracy_nonregression,pareto_cleaning,pareto_validity_nonregression,pareto_all4,ckpt,readout,arm3_scoring
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,arm1 + prune_opa 0.05 (normal fixed),10,7,3,4.6872,false,3,0.4987,8.0942,1,557900.0000,1150636,true,0.3152,pass,fail,fail,pass,fail,fail,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,gssem; minobs3; voxel0.05; SORstd2; 405 repair overlay,excluded by A-1p >8 m branch
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,arm1 + prune_opa 0.05 (normal fixed),10,6,4,4.4294,false,2,1.2135,5.8463,2,589550.0000,1150636,true,0.2988,pass,fail,fail,pass,fail,fail,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,gssem; minobs3; voxel0.05; SORstd2; 405 repair overlay,excluded by A-1p >8 m branch
