building_id,point_e,point_n,point_H_ortho,geoid_m,view_class,view_nadir_deg,view,pre_u,pre_v,post_u,post_v,du_px,dv_px,shift_px
DEBY_LOD2_4906972,690949.387,5335935.198,515.06,48.0,near_nadir,4.84,DJI_20241217084407_0047_D.JPG,2508.825,2088.446,2414.818,2169.209,-94.007,80.763,123.936
DEBY_LOD2_4906972,690949.387,5335935.198,515.06,48.0,strong_oblique,54.574,DJI_20241217103413_0016_D.JPG,3962.646,1847.925,4786.697,574.251,824.051,-1273.674,1517.005
