part,severity,message,path
A2,warn,trainer did not log prune event count; opacity smoking-gun uses final checkpoint,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1
A2,warn,trainer did not log prune event count; opacity smoking-gun uses final checkpoint,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1
A2,warn,trainer did not log prune event count; opacity smoking-gun uses final checkpoint,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1
