building_id,assignment,map_assignment,fm_correspondence_count,fm_z_median_m,learning_runs_started
DEBY_LOD2_4959340,textureless_correspondence_anchored,textureless_correspondence_anchored,8917,532.256535,0
DEBY_LOD2_4959457,textureless_correspondence_anchored,textureless_correspondence_anchored,5781,534.507540,0
DEBY_LOD2_4959458,textureless_correspondence_anchored,textureless_correspondence_anchored,9628,534.498061,0
DEBY_LOD2_4959459,textureless_correspondence_anchored,textureless_correspondence_anchored,7728,522.314513,0
DEBY_LOD2_4959460,outline_only,outline_only,41,532.575076,0
DEBY_LOD2_4959461,textureless_correspondence_anchored,textureless_correspondence_anchored,13950,536.090019,0
DEBY_LOD2_4959463,textureless_correspondence_anchored,textureless_correspondence_anchored,14707,521.627556,0
DEBY_LOD2_4959464,textureless_correspondence_anchored,textureless_correspondence_anchored,4976,529.910967,0
DEBY_LOD2_4959758,outline_only,outline_only,0,,0
DEBY_LOD2_4959793,textureless_correspondence_anchored,textureless_correspondence_anchored,15475,517.851729,0
DEBY_LOD2_60042,outline_only,outline_only,519,534.799512,0
DEBY_LOD2_60098,outline_only,outline_only,152,534.160512,0
DEBY_LOD2_8568391,outline_only,outline_only,0,,0
DEBY_LOD2_8573848,outline_only,outline_only,13,504.628828,0
DEBY_LOD2_8573849,textureless_correspondence_anchored,textureless_correspondence_anchored,6766,529.587617,0
