arm,replicate,run_name,interval_start_exclusive,interval_end_inclusive,building_id,duplicate_events,split_events,total_events,audit_steps,source
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_4907184,16009,7787,23796,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_4907199,677,222,899,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_4907202,24,126,150,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_4908168,1,24,25,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_4908178,1,25,26,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_8568391,17,33,50,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,0,5000,DEBY_LOD2_8568392,0,0,0,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_4907184,18003,4157,22160,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_4907199,2556,242,2798,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_4907202,20,116,136,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_4908168,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_4908178,0,11,11,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_8568391,12,12,24,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,10000,DEBY_LOD2_8568392,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_4907184,11975,2911,14886,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_4907199,934,138,1072,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_4907202,5,78,83,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_4908168,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_4908178,0,15,15,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_8568391,4,29,33,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,15000,DEBY_LOD2_8568392,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_4907184,9926,2424,12350,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
