building_id,roof_lowtex_v5,texture_class,texture_sufficient_proxy,n_views_nadir,recon_score_median,manual_label,raw_dense_success,acmp_success,gs_success_count_clean,gs_any_lod22_count,mechanism_bucket,gs_median_clean_coverage,gs_min_clean_coverage,gs_max_clean_coverage,gs_median_render_backproj_coverage
DEBY_LOD2_108247349,,not_reviewed,unknown,0.0,71.823,none,False,False,0,0,both_fail_or_invalid,0.00125,0.0,0.0124,0.32587064676616917
DEBY_LOD2_108247350,0.49,texture_sufficient_proxy,true,0.0,67.515,복합(소형+가림),False,True,1,2,both_have_success,0.0417,0.0,0.1042,0.16666666666666666
DEBY_LOD2_108247351,0.549,texture_poor,false,0.0,74.873,복합(저조도+가림),False,True,2,2,both_have_success,0.02885,0.0,0.0731,0.1576923076923077
DEBY_LOD2_4907184,,not_reviewed,unknown,1.42,127.033,none,True,True,2,6,both_have_success,0.9996499999999999,0.9985,1.0,1.0
DEBY_LOD2_4907185,,not_reviewed,unknown,0.65,129.596,none,True,True,6,6,both_have_success,0.2857,0.2609,0.3121,0.7453416149068323
DEBY_LOD2_4907186,,not_reviewed,unknown,0.0,68.276,none,True,True,6,6,both_have_success,0.04235,0.0282,0.055,0.6983655274888558
DEBY_LOD2_4907188,,not_reviewed,unknown,0.0,64.062,none,True,True,0,4,method_or_acmp_proxy_texture_unknown,0.03085,0.0075,0.0422,0.32680722891566266
DEBY_LOD2_4907194,,not_reviewed,unknown,0.0,51.146,none,False,True,0,2,method_or_acmp_proxy_texture_unknown,0.005900000000000001,0.0035,0.0141,0.4235294117647059
DEBY_LOD2_4907195,,not_reviewed,unknown,0.0,42.14,none,True,True,6,6,both_have_success,0.09720000000000001,0.0817,0.1183,0.4126760563380282
DEBY_LOD2_4907198,,not_reviewed,unknown,0.09,86.069,none,True,True,6,6,both_have_success,0.13105,0.1203,0.1488,0.5431154381084841
DEBY_LOD2_4907199,0.656,texture_poor,false,0.0,84.618,무텍스처,False,False,0,1,common_texture_limit_proxy,0.1501,0.0127,0.201,0.7175572519083969
DEBY_LOD2_4907202,,not_reviewed,unknown,1.94,84.473,none,True,True,3,5,both_have_success,0.1669,0.0406,0.4072,1.0
DEBY_LOD2_4908168,,not_reviewed,unknown,2.9,160.781,none,True,True,2,2,both_have_success,0.0,0.0,0.307,0.631578947368421
DEBY_LOD2_4908178,,not_reviewed,unknown,0.32,63.723,none,True,False,1,5,gs_only_success,0.18830000000000002,0.0507,0.522,1.0
DEBY_LOD2_4908179,,not_reviewed,unknown,0.0,75.129,none,False,False,0,0,both_fail_or_invalid,0.0021,0.0,0.0084,0.22151898734177214
DEBY_LOD2_60098,,not_reviewed,unknown,0.0,78.074,none,True,False,5,5,gs_only_success,0.04145,0.0281,0.0574,0.5216836734693877
DEBY_LOD2_8568391,0.536,texture_poor,false,1.02,86.872,무텍스처,False,False,1,2,gs_only_success,0.018099999999999998,0.0,0.0769,1.0
DEBY_LOD2_8568392,0.549,texture_poor,false,2.25,94.587,복합(소형+재질),False,False,1,1,gs_only_success,0.0,0.0,0.3333,1.0
