family,cell,replicate,band,z_min,z_max,opacity_bin,n_gaussians,fraction_of_band,band_total,opacity_p50,high_opacity_core_present,ckpt
s2,arm0_p005_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,12624,0.10589893,119208,0.0144,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,floater_595_615,595.0,615.0,lt_0p1,79997,0.67107073,119208,0.0144,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,gt_0p5,109,0.12674419,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,132,0.15348837,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,lt_0p1,619,0.71976744,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r2,floater_595_615,595.0,615.0,gt_0p5,23463,0.21914520,107066,0.0138,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm0_p005_normal,r2,floater_595_615,595.0,615.0,0p1_to_0p5,10615,0.09914445,107066,0.0138,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm0_p005_normal,r2,floater_595_615,595.0,615.0,lt_0p1,72988,0.68171035,107066,0.0138,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm0_p005_normal,r2,high_655_670,655.0,670.0,gt_0p5,141,0.42598187,331,0.1612,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm0_p005_normal,r2,high_655_670,655.0,670.0,0p1_to_0p5,42,0.12688822,331,0.1612,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm0_p005_normal,r2,high_655_670,655.0,670.0,lt_0p1,148,0.44712991,331,0.1612,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r1,floater_595_615,595.0,615.0,gt_0p5,14832,0.38129515,38899,0.0525,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
s2,arm1_p005_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,2942,0.07563176,38899,0.0525,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
