condition,arm,replicate,run_name,building_id,figure,view_idx,crop_xyxy,ckpt,cityjson,status_reason,has_lod22,val3dity_valid,n_gaussians_in_footprint,gaussian_z_p50,gaussian_z_std,gaussian_opacity_p50,readout_pre,readout_minobs,readout_sor,readout_final_fp_points,readout_classified_points
arm1_r1,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4907202,docs/figs/e5_c001_s2/pipeline_strips/4907202_arm1_r1.png,146,"312,218,483,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,val3dity_invalid,True,False,54,582.3272342681885,1.1401713024778664,0.003908917075023055,277,25,17,209,1179
arm1_r1,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4908168,docs/figs/e5_c001_s2/pipeline_strips/4908168_arm1_r1.png,186,"213,266,326,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,True,14,624.6871910095215,12.25890733760361,0.9997306764125824,112,92,0,0,462847
arm1_r1,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4908178,docs/figs/e5_c001_s2/pipeline_strips/4908178_arm1_r1.png,146,"279,246,431,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,True,0,,,,147,0,0,0,2065
arm1_r1,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4907184,docs/figs/e5_c001_s2/pipeline_strips/4907184_arm1_r1.png,195,"265,195,490,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json,success,True,True,2863,582.9295825958252,6.886769626084554,0.9619501233100891,1352,1346,1346,392116,562448
arm2_r1,arm2,r1,gs_e5_C001_s2_arm2_dense_r1,DEBY_LOD2_4907202,docs/figs/e5_c001_s2/pipeline_strips/4907202_arm2_r1.png,146,"312,218,483,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm2_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,,14,580.2902383804321,0.35290941012188043,0.003909378545358777,172,0,0,0,0
arm2_r1,arm2,r1,gs_e5_C001_s2_arm2_dense_r1,DEBY_LOD2_4908168,docs/figs/e5_c001_s2/pipeline_strips/4908168_arm2_r1.png,186,"213,266,326,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm2_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,True,0,,,,37,0,0,0,447954
arm2_r1,arm2,r1,gs_e5_C001_s2_arm2_dense_r1,DEBY_LOD2_4908178,docs/figs/e5_c001_s2/pipeline_strips/4908178_arm2_r1.png,146,"279,246,431,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm2_dense_r1_run_1.city.json,roofer_skip_no_3d_geometry,False,True,0,,,,45,0,0,0,1917
arm2_r1,arm2,r1,gs_e5_C001_s2_arm2_dense_r1,DEBY_LOD2_4907184,docs/figs/e5_c001_s2/pipeline_strips/4907184_arm2_r1.png,195,"265,195,490,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm2_dense_r1_run_1.city.json,success,True,True,3482,582.9830913543701,1.7022878875398264,0.7348297834396362,1352,1347,1344,394737,552414
arm0_r1,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4907202,docs/figs/e5_c001_s2/pipeline_strips/4907202_arm0_r1.png,146,"312,218,483,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json,val3dity_invalid,True,False,412,582.3684768676758,31.987594061307995,0.003945867996662855,579,141,81,2329,5149
arm0_r1,arm0,r1,gs_e5_C001_s2_arm0_dense_r1,DEBY_LOD2_4908168,docs/figs/e5_c001_s2/pipeline_strips/4908168_arm0_r1.png,186,"213,266,326,355",results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm0_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,True,41,580.8778114318848,0.3105236175399306,0.003818703815340996,31,0,0,0,497094
