building_id,arm,input_kind,outcome_source,crs_xy,clip_source,fallback_clip_source,no_points_recode,robust_exclude,robust_exclude_reason,manual_label,manual_label_available,footprint_area_m2,ref_roof_planes,pt_density_m2,coverage_frac,pt_density_m2_reg,coverage_frac_reg,local_plane_rms_m,m3c2_rms_m,floater_frac,label_proxy_frac_all,label_proxy_frac_ground,attr_missing_local_rms,attr_missing_m3c2,attr_missing_floater,attr_missing_label_all,attr_missing_label_ground,median_incidence_deg,median_pair_angle_deg,n_views_nadir,recon_score_median,assembled,val3dity_valid,rf_rmse_lod22,rf_roof_planes,run2_available,run2_assembled,run2_val3dity_valid,run2_rf_rmse_lod22,run2_rf_roof_planes,stratum_complexity_ref_roof_planes,stratum_size_area,stratum_observation_recon_score
DEBY_LOD2_104583447,raw_dense,DIM,w2_1,EPSG:25832,fallback_dim_footprint_clip,true,false,false,none,none,false,6.082100,1.000000,20.058861,0.500000,20.058861,0.500000,0.044789,0.119455,0.000000,0.000000,none,false,false,false,false,true,84.470000,39.060000,1.800000,113.072000,1,1,0.048511,1.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_104583447,raw_lidar,LiDAR,w2_1,EPSG:25832,fallback_als_footprint_clip,true,false,false,none,none,false,6.082100,1.000000,18.907943,1.000000,18.907943,1.000000,0.204441,none,0.000000,0.000000,none,false,true,false,false,true,84.470000,39.060000,1.800000,113.072000,1,1,4.543334,2.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_104583794,raw_dense,DIM,w2_1,EPSG:25832,existing_mob_eval_clip,false,true,false,none,복합(소형+가림),true,6.387450,1.000000,none,none,0.000000,0.000000,none,none,none,none,none,true,true,true,true,true,79.630000,29.280000,0.000000,72.081000,0,1,none,0.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_104583794,raw_acmp,ACMP,gen_8way_raw_acmp,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(소형+가림),true,6.387450,1.000000,0.156557,0.040000,0.156557,0.040000,none,none,1.000000,1.000000,1.000000,true,true,false,false,false,79.630000,29.280000,0.000000,72.081000,0,0,none,0.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_104583794,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(소형+가림),true,6.387450,1.000000,20.508967,1.000000,20.508967,1.000000,0.223805,none,0.007634,0.000000,0.000000,false,true,false,false,false,79.630000,29.280000,0.000000,72.081000,1,1,1.495927,3.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_104586480,raw_dense,DIM,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,true,temporal_candidate,none,false,14.770800,1.000000,372.897880,1.000000,372.897880,1.000000,0.151630,0.091272,0.310458,0.000000,0.000000,false,false,false,false,false,63.040000,25.290000,13.290000,217.608000,0,1,0.000000,1.000000,false,none,none,none,none,low,low,high
DEBY_LOD2_104586480,raw_acmp,ACMP,gen_8way_raw_acmp,EPSG:25832,existing_mob_eval_clip,false,false,true,temporal_candidate,none,false,14.770800,1.000000,454.342351,1.000000,454.342351,1.000000,0.099837,0.254306,0.193563,0.000000,0.000000,false,false,false,false,false,63.040000,25.290000,13.290000,217.608000,0,0,none,0.000000,false,none,none,none,none,low,low,high
DEBY_LOD2_104586480,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,true,temporal_candidate,none,false,14.770800,1.000000,11.847700,1.000000,11.847700,1.000000,0.136660,none,0.108571,0.000000,0.000000,false,true,false,false,false,63.040000,25.290000,13.290000,217.608000,1,1,4.346850,1.000000,false,none,none,none,none,low,low,high
DEBY_LOD2_107802038,raw_dense,DIM,w2_1,EPSG:25832,fallback_dim_footprint_clip,true,true,false,none,none,false,388.471650,1.000000,none,none,0.000000,0.000000,none,none,none,none,none,true,true,true,true,true,86.510000,16.000000,0.000000,0.000000,0,1,none,0.000000,false,none,none,none,none,low,high,low
DEBY_LOD2_107802038,raw_acmp,ACMP,gen_8way_raw_acmp,EPSG:25832,existing_mob_eval_clip,false,false,false,none,none,false,388.471650,1.000000,0.193064,0.045689,0.193064,0.045689,none,none,0.906667,0.013333,0.500000,true,true,false,false,false,86.510000,16.000000,0.000000,0.000000,1,1,24.324442,1.000000,false,none,none,none,none,low,high,low
DEBY_LOD2_107802038,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,none,false,388.471650,1.000000,18.045075,1.000000,18.045075,1.000000,0.141489,none,0.000000,0.000000,0.000000,false,true,false,false,false,86.510000,16.000000,0.000000,0.000000,1,1,1.970426,4.000000,false,none,none,none,none,low,high,low
DEBY_LOD2_107807336,raw_dense,DIM,w2_1,EPSG:25832,fallback_dim_footprint_clip,true,true,false,none,none,false,100.625850,1.000000,none,none,0.000000,0.000000,none,none,none,none,none,true,true,true,true,true,85.150000,13.550000,0.000000,0.000000,0,1,none,0.000000,false,none,none,none,none,low,low,low
DEBY_LOD2_107807336,raw_acmp,ACMP,gen_8way_raw_acmp,EPSG:25832,existing_mob_eval_clip,false,false,false,none,none,false,100.625850,1.000000,0.248445,0.054591,0.248445,0.054591,none,none,1.000000,0.080000,1.000000,true,true,false,false,false,85.150000,13.550000,0.000000,0.000000,0,0,none,0.000000,false,none,none,none,none,low,low,low
DEBY_LOD2_107807336,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,none,false,100.625850,1.000000,18.047053,0.997519,18.047053,0.997519,0.151071,none,0.018722,0.000000,0.000000,false,true,false,false,false,85.150000,13.550000,0.000000,0.000000,1,1,1.734635,5.000000,false,none,none,none,none,low,low,low
DEBY_LOD2_108246888,raw_dense,DIM,w2_1,EPSG:25832,fallback_dim_footprint_clip,true,false,false,none,none,false,13.961250,4.000000,96.696213,0.946429,96.696213,0.946429,0.179162,0.341004,0.000000,0.000000,0.000000,false,false,false,false,false,68.640000,19.440000,0.000000,83.840000,1,1,0.616319,4.000000,true,1,1,0.630887,3.000000,high,low,mid
DEBY_LOD2_108246888,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,none,false,13.961250,4.000000,19.554123,1.000000,19.554123,1.000000,0.105120,none,0.003663,0.000000,0.000000,false,true,false,false,false,68.640000,19.440000,0.000000,83.840000,1,1,1.161197,4.000000,true,1,1,1.161196,4.000000,high,low,mid
DEBY_LOD2_108247349,raw_dense,DIM,w2_1,EPSG:25832,fallback_dim_footprint_clip,true,true,false,none,none,false,101.102650,1.000000,none,none,0.000000,0.000000,none,none,none,none,none,true,true,true,true,true,79.840000,30.740000,0.000000,71.823000,0,none,none,none,false,none,none,none,none,low,low,mid
DEBY_LOD2_108247349,raw_lidar,LiDAR,w2_1,EPSG:25832,fallback_als_footprint_clip,true,false,false,none,none,false,101.102650,1.000000,21.423771,1.000000,21.423771,1.000000,0.185911,none,0.000000,0.000000,0.000000,false,true,false,false,false,79.840000,30.740000,0.000000,71.823000,0,none,none,none,false,none,none,none,none,low,low,mid
DEBY_LOD2_108247350,raw_dense,DIM,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(소형+가림),true,12.137050,1.000000,1.071100,0.125000,1.071100,0.125000,none,none,1.000000,1.000000,1.000000,true,true,false,false,false,77.130000,35.680000,0.000000,67.515000,0,1,none,0.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_108247350,raw_acmp,ACMP,gen_8way_raw_acmp,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(소형+가림),true,12.137050,1.000000,9.392727,0.791667,9.392727,0.791667,0.232974,13.111461,1.000000,0.000000,none,false,false,false,false,true,77.130000,35.680000,0.000000,67.515000,1,1,8.714828,4.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_108247350,raw_lidar,LiDAR,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(소형+가림),true,12.137050,1.000000,13.841914,0.958333,13.841914,0.958333,0.171617,none,0.101190,0.000000,0.000000,false,true,false,false,false,77.130000,35.680000,0.000000,67.515000,1,1,4.064362,1.000000,false,none,none,none,none,low,low,mid
DEBY_LOD2_108247351,raw_dense,DIM,w2_1,EPSG:25832,existing_mob_eval_clip,false,false,false,none,복합(저조도+가림),true,65.278500,1.000000,0.168509,0.030769,0.168509,0.030769,none,none,1.000000,1.000000,1.000000,true,true,false,false,false,77.650000,31.160000,0.000000,74.873000,0,1,none,0.000000,false,none,none,none,none,low,low,mid
