source_run,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,24,454,0.05286343612334802
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,3,221,0.013574660633484163
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908168,0,114,0.0
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247350,0,48,0.0
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,22,673,0.03268945022288262
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247351,6,260,0.023076923076923078
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,50,710,0.07042253521126761
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,7,850,0.00823529411764706
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,173,1438,0.12030598052851182
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907202,48,641,0.0748829953198128
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_60098,35,784,0.044642857142857144
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,0,24,0.0
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,1,402,0.0024875621890547263
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907188,28,664,0.04216867469879518
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,0,474,0.0
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,30,393,0.07633587786259542
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1435,1352,1.0
gs_e5_C001_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907185,185,644,0.28726708074534163
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908178,242,454,0.5330396475770925
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568391,42,221,0.19004524886877827
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908168,32,114,0.2807017543859649
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247350,10,48,0.20833333333333334
