rms_threshold_m,image_doable_count,lidar_doable_count,image_doable_but_gs_s1_not_pass_count,image_doable_ids,lidar_doable_ids,image_doable_but_gs_s1_not_pass_ids
2.5,11,13,5,4907184;4907185;4907186;4907188;4907194;4907195;4907198;4907202;4908168;4908178;60098,108247350;108247351;4907185;4907186;4907188;4907195;4907198;4907199;4907202;4908168;4908178;8568391;8568392,4907186;4907188;4907194;4907195;60098
3.0,11,14,5,4907184;4907185;4907186;4907188;4907194;4907195;4907198;4907202;4908168;4908178;60098,108247350;108247351;4907185;4907186;4907188;4907195;4907198;4907199;4907202;4908168;4908178;60098;8568391;8568392,4907186;4907188;4907194;4907195;60098
4.0,11,15,4,4907184;4907185;4907186;4907188;4907194;4907195;4907198;4907202;4908168;4908178;60098,108247350;108247351;4907184;4907185;4907186;4907188;4907195;4907198;4907199;4907202;4908168;4908178;60098;8568391;8568392,4907186;4907188;4907194;60098
