component,backend,torch,device,depth_anything_repo,torch_home
mono_depth,Depth Anything V2 Small vits,2.4.1+cu121,cuda:0,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/Depth-Anything-V2,
mono_normal,Omnidata DPT-Hybrid surface normal,2.4.1+cu121,cuda:0,,results/tum_transfer/e5_s1_full_factor/C001/torch_hub
