setting,n,has_lod22,val3dity_valid,not_built,roof0_success,invalid_or_collapse,assembled,mean_coverage_pre_minobs,mean_coverage_post_minobs,mean_coverage_post_sor,mean_completeness,mean_correctness,median_ref_rms_m,mean_ref_rms_m,delta_coverage_post_sor_vs_base,delta_correctness_vs_base,delta_ref_rms_m_vs_base
base,54,30,41,24,0,16,14,0.6694,0.2900,0.1506,0.2593,0.5637,4.3230,8.9411,,,
voxel02,54,8,34,46,0,6,2,0.6694,0.0986,0.0595,0.0926,0.6458,3.1289,4.6278,-0.0911,0.0111,2.6484
