row_type,run_id,building_id,arm,replicate,job_class,height_delta_m,alpha,canonical_depth,fused_all_count,minobs_count,sor_count,sor_status,inside_footprint_count,height_window_count,roof_candidate_count,anchor_band_count,anchor_band_coverage_eligible_cells,anchor_band_coverage_occupied_cells,anchor_band_coverage_ratio,anchor_band_density_pt_m2,inside_density_pt_m2,above_anchor_count,below_anchor_count,reference_band_199_count,reference_band_199_present,seed_anchor_source,seed_anchor_half_band_m,ground_z_local_m,roof_candidate_min_above_ground_m,histogram_top_above_ground_m,survival_class,upper_xy_pattern,upper_edge_fraction,upper_neighbor_direction_fraction,upper_cell_count_cv,nearest_neighbor_building_id,alpha0p5_existing_fused_all_match,alpha0p5_existing_minobs_match,alpha0p5_existing_sor_match,alpha0p5_existing_all_payload_match,alpha0p5_existing_clean_payload_match,checkpoint,checkpoint_sha256,extraction_npz,extraction_npz_sha256,gt_role,learning_runs_started,status,hist_bin_low_above_ground_m,hist_bin_high_above_ground_m,hist_count,classification_name,classification_count,classification_fraction
summary,gs_e5_C001_s3ap_b4907199_a1_r2,DEBY_LOD2_4907199,a1,r2,base,0.000000000000,0.300000000000,median,204352,18234,17586,applied,222,134,134,0,448,0,0.000000000000,0.000000000000,2.257326014342,134,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.507462686567,0.977611940299,0.794136453398,DEBY_LOD2_108247351,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,85e0df95ca79a9e063dc23f8312551fda248d4acf743d764f36cd6a85aa4529c,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a1_r2.npz,19b17c7da27bad85919769479d4bb5ad12556515ef34a404f184432b1684e87e,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a1_r2,DEBY_LOD2_4907199,a1,r2,base,0.000000000000,0.500000000000,median,201824,18232,17578,applied,221,134,134,0,448,0,0.000000000000,0.000000000000,2.247157879142,134,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.507462686567,0.977611940299,0.794136453398,DEBY_LOD2_108247351,true,true,true,true,true,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,85e0df95ca79a9e063dc23f8312551fda248d4acf743d764f36cd6a85aa4529c,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a1_r2.npz,19b17c7da27bad85919769479d4bb5ad12556515ef34a404f184432b1684e87e,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r1,DEBY_LOD2_4907199,a2,r1,base,0.000000000000,0.100000000000,median,211087,19130,18488,applied,173,111,111,0,448,0,0.000000000000,0.000000000000,1.759087389555,111,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,neighbor_direction_concentrated,0.306306306306,0.846846846847,0.823523955461,DEBY_LOD2_108247351,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/final.pt,bd4ba210a01a1264acc6b0110384de456d2953da8b607ca2f3fd8fb1b7c7c3ed,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r1.npz,7de93acf1b6d151754e277aeb28a51e2dadcad1f4b39c6293921fd2a89813f40,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r1,DEBY_LOD2_4907199,a2,r1,base,0.000000000000,0.300000000000,median,209213,19128,18490,applied,173,111,111,0,448,0,0.000000000000,0.000000000000,1.759087389555,111,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,neighbor_direction_concentrated,0.306306306306,0.846846846847,0.823523955461,DEBY_LOD2_108247351,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/final.pt,bd4ba210a01a1264acc6b0110384de456d2953da8b607ca2f3fd8fb1b7c7c3ed,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r1.npz,7de93acf1b6d151754e277aeb28a51e2dadcad1f4b39c6293921fd2a89813f40,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r1,DEBY_LOD2_4907199,a2,r1,base,0.000000000000,0.500000000000,median,206257,19118,18502,applied,173,111,111,0,448,0,0.000000000000,0.000000000000,1.759087389555,111,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,neighbor_direction_concentrated,0.306306306306,0.846846846847,0.823523955461,DEBY_LOD2_108247351,true,true,true,true,true,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/final.pt,bd4ba210a01a1264acc6b0110384de456d2953da8b607ca2f3fd8fb1b7c7c3ed,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r1.npz,7de93acf1b6d151754e277aeb28a51e2dadcad1f4b39c6293921fd2a89813f40,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r2,DEBY_LOD2_4907199,a2,r2,base,0.000000000000,0.100000000000,median,213106,18462,17801,applied,333,161,161,0,448,0,0.000000000000,0.000000000000,3.385989021513,161,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.695652173913,1.000000000000,0.791480815371,DEBY_LOD2_108247351,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/final.pt,129b666f8b6bd1c288903c2f5d842e0d9ab4a594b7a272050c9c5b8bf116b053,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r2.npz,d442d72f2775b2bf9744493b3c74f1012f3f6468a92f116ed5c4f8c9ea317084,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r2,DEBY_LOD2_4907199,a2,r2,base,0.000000000000,0.300000000000,median,212735,18462,17801,applied,333,161,161,0,448,0,0.000000000000,0.000000000000,3.385989021513,161,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.695652173913,1.000000000000,0.791480815371,DEBY_LOD2_108247351,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/final.pt,129b666f8b6bd1c288903c2f5d842e0d9ab4a594b7a272050c9c5b8bf116b053,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r2.npz,d442d72f2775b2bf9744493b3c74f1012f3f6468a92f116ed5c4f8c9ea317084,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b4907199_a2_r2,DEBY_LOD2_4907199,a2,r2,base,0.000000000000,0.500000000000,median,210884,18453,17796,applied,333,161,161,0,448,0,0.000000000000,0.000000000000,3.385989021513,161,0,0,false,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.342000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.695652173913,1.000000000000,0.791480815371,DEBY_LOD2_108247351,true,true,true,true,true,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/final.pt,129b666f8b6bd1c288903c2f5d842e0d9ab4a594b7a272050c9c5b8bf116b053,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b4907199_a2_r2.npz,d442d72f2775b2bf9744493b3c74f1012f3f6468a92f116ed5c4f8c9ea317084,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b8568391_a0_r1,DEBY_LOD2_8568391,a0,r1,base,0.000000000000,0.100000000000,median,162639,358,342,applied,79,79,79,0,265,0,0.000000000000,0.000000000000,1.422508404583,79,0,,,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.178000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.594936708861,1.000000000000,0.686701569115,DEBY_LOD2_8568392,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/final.pt,91c0b4c6200b7574b8739d9bb4309600ce92c2fd1e1ad4975e137348e85d9e78,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b8568391_a0_r1.npz,1134cdf2c0c48199749df11b4b6e6e60aebef7fc298d63cc12f4d7e28bb702bc,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
summary,gs_e5_C001_s3ap_b8568391_a0_r1,DEBY_LOD2_8568391,a0,r1,base,0.000000000000,0.300000000000,median,162555,358,342,applied,79,79,79,0,265,0,0.000000000000,0.000000000000,1.422508404583,79,0,,,Phase-0 P0 fitted plane plus locked job height_delta_m,0.300000000000,-43.178000000000,1.500000000000,15.000000000000,밀림,edge_band_concentrated,0.594936708861,1.000000000000,0.686701569115,DEBY_LOD2_8568392,,,,,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/final.pt,91c0b4c6200b7574b8739d9bb4309600ce92c2fd1e1ad4975e137348e85d9e78,results/tum_transfer/e5_s3b0/alpha/jobs/gs_e5_C001_s3ap_b8568391_a0_r1.npz,1134cdf2c0c48199749df11b4b6e6e60aebef7fc298d63cc12f4d7e28bb702bc,LoD2 opened after fusion only for 4907199 reference-band score,0,measured,,,,,,
