building_id,footprint_area_m2,small_lt50_candidate,texture_low_gradient_fraction,texture_threshold,texture_sufficient,mast3r_correspondence_count,correspondence_threshold,correspondence_at_or_above_threshold,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_inframe_threshold,outline_pixel_threshold,outline_observable,formula_assignment,map_assignment,assignment_record_status,calibration_seed,calibration_or_validation,dense_assembled,projection_reference_height_used,crs,learning_runs_started
DEBY_LOD2_4906966,1437.016000,false,0.537000,0.721000,true,0,6.000000,false,1.000000,432,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906967,2568.094000,false,0.444000,0.721000,true,390,6.000000,true,1.000000,432,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906968,1781.398000,false,0.768000,0.721000,false,15,6.000000,true,1.000000,542,0.999999,21.000000,true,2층,2층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906969,173.375000,false,0.506000,0.721000,true,569,6.000000,true,1.000000,110,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906970,154.490000,false,0.533000,0.721000,true,1047,6.000000,true,1.000000,101,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906972,371.016000,false,0.125000,0.721000,true,231,6.000000,true,1.000000,178,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906973,55.297000,false,0.633000,0.721000,true,0,6.000000,false,1.000000,65,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906974,315.332000,false,0.380000,0.721000,true,304,6.000000,true,1.000000,169,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906975,1805.656000,false,0.574000,0.721000,true,0,6.000000,false,1.000000,345,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906976,273.078000,false,0.311000,0.721000,true,988,6.000000,true,1.000000,160,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
