candidate_id,rank,recommended,recommendation_note,n_buildings,dense_success_count,dense_failure_count,dense_no_points_count,dense_no_planes_count,dense_assembly_failure_count,failure_bucket_counts,failure_reason_counts,manual_review_count,manual_label_counts,ref_mismatch_ids,n_views_nadir_median,n_views_total_median,frac_views_incidence_le60_median,recon_score_median_median,roof_lowtex_v5_median,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,compactness_diag_m,existing_stage_overlap_count,seed_sparse_source,seed_sparse_clip_possible,seed_dense_source,seed_dense_clip_possible,seed_acmp_source,seed_acmp_clip_possible,building_ids
C011,11,no,,21,10,7,6,0,1,1_textureless:4;2_assembly:1;3_coverage:1;4_impossible:1,missing_lod22_geometry:1;pointcloud_unusable_no_points:6,6,가림:1;무텍스처:2;복합(소형+가림):1;복합(소형+재질):1;복합(저조도+가림):1,,0.000,135.850,0.109,78.074,0.549,690774.550,5336019.202,690859.713,5336140.538,148.240,0,present,yes,present,yes,present,yes,DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907181;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568391;DEBY_LOD2_8568392
C012,12,no,,21,10,7,7,0,0,1_textureless:4;3_coverage:2;4_impossible:1,pointcloud_unusable_no_points:7,7,가림:1;무텍스처:2;복합(소형+가림):2;복합(소형+재질):1;복합(저조도+가림):1,,0.000,135.850,0.109,75.129,0.549,690774.550,5336019.202,690859.713,5336140.538,148.240,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568391;DEBY_LOD2_8568392
C013,13,no,,20,10,6,6,0,0,1_textureless:3;3_coverage:2;4_impossible:1,pointcloud_unusable_no_points:6,6,가림:1;무텍스처:1;복합(소형+가림):2;복합(소형+재질):1;복합(저조도+가림):1,,0.000,135.715,0.109,75.001,0.556,690774.550,5336019.202,690859.713,5336140.538,148.240,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568392
C014,14,no,,20,10,6,6,0,0,1_textureless:4;3_coverage:1;4_impossible:1,pointcloud_unusable_no_points:6,6,가림:1;무텍스처:2;복합(소형+가림):1;복합(소형+재질):1;복합(저조도+가림):1,,0.000,135.715,0.107,76.602,0.556,690774.550,5336019.202,690859.713,5336140.538,148.240,0,present,yes,present,yes,present,yes,DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568391;DEBY_LOD2_8568392
C015,15,no,,19,10,5,5,0,0,1_textureless:3;3_coverage:1;4_impossible:1,pointcloud_unusable_no_points:5,5,가림:1;무텍스처:1;복합(소형+가림):1;복합(소형+재질):1;복합(저조도+가림):1,,0.000,135.580,0.109,75.129,0.562,690774.550,5336019.202,690859.713,5336140.538,148.240,0,present,yes,present,yes,present,yes,DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568392
C016,16,no,,26,10,14,12,0,2,2_assembly:2;3_coverage:10;4_impossible:2,missing_lod22_geometry:2;pointcloud_unusable_no_points:12,12,가림:6;관측각·커버리지:1;무텍스처:1;복합(소형+가림):1;복합(소형+재질):2;복합(재질+가림):1,,0.000,135.220,0.162,82.182,0.537,690780.929,5336083.195,690864.200,5336206.510,148.797,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_42364607;DEBY_LOD2_4907165;DEBY_LOD2_4907166;DEBY_LOD2_4907174;DEBY_LOD2_4907175;DEBY_LOD2_4907176;DEBY_LOD2_4907177;DEBY_LOD2_4907181;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4908157;DEBY_LOD2_4908158;DEBY_LOD2_4908159;DEBY_LOD2_4908161;DEBY_LOD2_4908162;DEBY_LOD2_4908163;DEBY_LOD2_4908164;DEBY_LOD2_4908168;DEBY_LOD2_4908169;DEBY_LOD2_4908170;DEBY_LOD2_4908172;DEBY_LOD2_60098
C017,17,no,,24,10,11,9,0,2,1_textureless:1;2_assembly:2;3_coverage:7;4_impossible:1,missing_lod22_geometry:2;pointcloud_unusable_no_points:9,9,가림:4;관측각·커버리지:1;복합(소형+가림):2;복합(소형+재질):1;복합(재질+가림):1,,0.000,137.920,0.165,71.340,0.537,690771.170,5336069.080,690864.200,5336187.715,150.761,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_108247350;DEBY_LOD2_4907164;DEBY_LOD2_4907165;DEBY_LOD2_4907166;DEBY_LOD2_4907174;DEBY_LOD2_4907175;DEBY_LOD2_4907176;DEBY_LOD2_4907177;DEBY_LOD2_4907181;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907195;DEBY_LOD2_4908157;DEBY_LOD2_4908158;DEBY_LOD2_4908159;DEBY_LOD2_4908168;DEBY_LOD2_4908169;DEBY_LOD2_4908170;DEBY_LOD2_4908172;DEBY_LOD2_60098
C018,18,no,,22,10,8,8,0,0,1_textureless:4;3_coverage:3;4_impossible:1,pointcloud_unusable_no_points:8,8,가림:1;무텍스처:2;복합(소형+가림):2;복합(소형+재질):1;복합(재질+가림):1;복합(저조도+가림):1,,0.000,135.715,0.107,73.477,0.556,690774.550,5336019.202,690843.770,5336156.260,153.546,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_108247349;DEBY_LOD2_108247350;DEBY_LOD2_108247351;DEBY_LOD2_4907165;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907194;DEBY_LOD2_4907195;DEBY_LOD2_4907198;DEBY_LOD2_4907199;DEBY_LOD2_4907202;DEBY_LOD2_4908168;DEBY_LOD2_4908170;DEBY_LOD2_4908172;DEBY_LOD2_4908178;DEBY_LOD2_4908179;DEBY_LOD2_60098;DEBY_LOD2_8568391;DEBY_LOD2_8568392
C019,19,no,,25,10,13,11,0,2,2_assembly:2;3_coverage:9;4_impossible:2,missing_lod22_geometry:2;pointcloud_unusable_no_points:11,11,가림:5;관측각·커버리지:1;무텍스처:1;복합(소형+가림):1;복합(소형+재질):2;복합(재질+가림):1,,0.000,135.460,0.163,78.074,0.541,690771.170,5336074.700,690864.200,5336197.194,153.816,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_42364607;DEBY_LOD2_4907164;DEBY_LOD2_4907165;DEBY_LOD2_4907174;DEBY_LOD2_4907175;DEBY_LOD2_4907176;DEBY_LOD2_4907177;DEBY_LOD2_4907181;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907195;DEBY_LOD2_4908157;DEBY_LOD2_4908158;DEBY_LOD2_4908159;DEBY_LOD2_4908162;DEBY_LOD2_4908164;DEBY_LOD2_4908168;DEBY_LOD2_4908169;DEBY_LOD2_4908170;DEBY_LOD2_4908172;DEBY_LOD2_60098
C020,20,no,,24,10,12,10,0,2,2_assembly:2;3_coverage:8;4_impossible:2,missing_lod22_geometry:2;pointcloud_unusable_no_points:10,10,가림:5;관측각·커버리지:1;무텍스처:1;복합(소형+가림):1;복합(소형+재질):1;복합(재질+가림):1,,0.000,137.860,0.162,76.376,0.537,690771.170,5336074.700,690864.200,5336197.194,153.816,0,present,yes,present,yes,present,yes,DEBY_LOD2_104583794;DEBY_LOD2_42364607;DEBY_LOD2_4907164;DEBY_LOD2_4907165;DEBY_LOD2_4907174;DEBY_LOD2_4907175;DEBY_LOD2_4907176;DEBY_LOD2_4907177;DEBY_LOD2_4907181;DEBY_LOD2_4907184;DEBY_LOD2_4907185;DEBY_LOD2_4907186;DEBY_LOD2_4907187;DEBY_LOD2_4907188;DEBY_LOD2_4907195;DEBY_LOD2_4908157;DEBY_LOD2_4908158;DEBY_LOD2_4908159;DEBY_LOD2_4908162;DEBY_LOD2_4908168;DEBY_LOD2_4908169;DEBY_LOD2_4908170;DEBY_LOD2_4908172;DEBY_LOD2_60098
