model_id,role,wave,arm,run,setting,lineage,building_id,status,status_reason,rf_extrusion_mode,has_lod22,lod1_fallback,val3dity_valid,roof_face_count_model,roof_face_count_ref,face_count_ratio,roof_rms_m,roof_hausdorff_m,roof_distance_samples,status_rf_rmse_lod22,point_metric_arm,point_count_footprint,point_density_m2,point_coverage_frac,point_hole_frac,point_local_plane_rms_m,point_metric_source,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,cityjson_path,cityjson_sha256,status_path,z_shift_to_reference_m,xy_alignment,xy_overlap_ratio,gt_role,learning_runs_started
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907199,success,success,standard,true,false,true,1,1,1.000000000,0.031461423,0.060991097,393,1.373301,raw_lidar,2045,20.793836,1.000000,0.000000,0.134635,docs/pointcloud_attributes_v1_3.csv,무텍스처,mid,low,low,무텍스처,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907202,success,success,standard,true,false,true,4,2,2.000000000,1.014340763,6.405930061,643,0.834992,raw_lidar,3250,20.254439,0.996880,0.003120,0.153354,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4908168,success,success,standard,true,false,true,1,1,1.000000000,0.097484721,0.229290497,114,0.923932,raw_lidar,600,20.810644,1.000000,0.000000,0.149755,docs/pointcloud_attributes_v1_3.csv,not_reviewed,high,low,low,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4908178,success,success,standard,true,false,true,3,2,1.500000000,0.997029397,3.208607844,454,0.609391,raw_lidar,2089,18.419527,1.000000,0.000000,0.180393,docs/pointcloud_attributes_v1_3.csv,not_reviewed,low,low,low,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_4908179,failure,missing_roofer_output,,false,false,false,0,1,0.000000000,,,0,,raw_lidar,2304,19.484210,0.995781,0.004219,0.110771,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,low,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_60098,success,success,standard,true,false,true,5,2,2.500000000,2.817517121,15.134374211,786,1.896761,raw_lidar,4022,20.528219,1.000000,0.000000,0.167383,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_8568391,success,success,standard,true,false,true,1,1,1.000000000,0.036475174,0.069778994,221,0.597288,raw_lidar,950,17.106114,0.945701,0.054299,0.033043,docs/pointcloud_attributes_v1_3.csv,무텍스처,mid,low,low,무텍스처,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
als_w2_1,als_upper,w2_1,als,w2_1,canonical,comparison_baseline,DEBY_LOD2_8568392,success,success,standard,true,false,true,1,1,1.000000000,0.103783526,0.196656160,19,0.978492,raw_lidar,109,18.801154,1.000000,0.000000,0.038586,docs/pointcloud_attributes_v1_3.csv,lowtex_high,mid,low,low,복합(소형+재질),phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_108247349,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,not_reviewed,mid,low,low,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_108247350,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,lowtex_mid,mid,low,low,복합(소형+가림),phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_108247351,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,복합(저조도+가림),mid,low,low,복합(저조도+가림),phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907184,success,success,standard,true,false,true,6,4,1.500000000,0.354728258,2.638278924,1347,1.314429,,,584.373352,,0.001479,,,not_reviewed,high,high,high,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907185,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,high,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907186,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
