arm,replicate,n,sum_delta_has_lod22,mean_delta_completeness,mean_delta_correctness,median_ref_rms_gain_m,mean_ref_rms_gain_m
acmp,r1,18,-3,-0.3194,-0.0571,-2.3631,-5.2196
acmp,r2,18,-1,-0.2917,0.0124,-3.9968,-4.7949
dense,r1,18,-2,-0.3333,-0.3000,-4.5627,-4.6619
dense,r2,18,3,-0.1111,-0.1762,-1.9596,-3.6024
sparse,r1,18,7,0.0972,-0.8572,-5.8390,-5.8390
sparse,r2,18,9,0.1806,-0.3824,0.0108,0.0108
