building_id,panel_column,panel_order,model_id,selection_scope,role,wave,setting,arm,run,lineage,cityjson_path,cityjson_sha256,z_shift_to_reference_m,has_lod22,val3dity_valid,roof_face_count,roof_rms_m,roof_hausdorff_m,roof_distance_samples,roof_completeness,gt_role,learning_runs_started,new_inference_runs
DEBY_LOD2_4907186,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,1,3.932193429,9.996186058,674,0.999765377,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907186,gs_oracle,4,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001:base:gs_e5_C001_s2_arm2_dense_r2:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001,base,arm2,r2,405_repaired_copy,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm2_dense_r2_run_1.city.json,4fb26782aeaa501d67bc1cf50b0e24c91d4297f21df8544fd114b54c9605bea9,-48.165000000,true,true,1,1.062288628,1.414869157,2,0.002257801,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907188,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,2,0.000000000,0.000000000,662,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907188,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,3,1.354221199,4.138715144,664,0.999949573,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907188,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,1,10.524704456,19.555005138,664,0.999869552,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907188,gs_oracle,4,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r2:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_readout_ablation_20260708_C001,sor_off,acmp,r2,original_assembled,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/sor_off/cityjson/gs_e5_C001_acmp_r2_run_1.city.json,da0c93c06b0702f435502b7ff0e706eea11f8273d8e851f967f85fa14655827f,-48.165000000,true,true,1,1.555996338,3.954383901,664,0.999869552,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907195,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,2,0.000000000,0.000000000,711,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907195,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,2,0.269773262,0.570649324,59,0.082079788,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907195,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,3,2.348441852,5.524350468,710,0.999944851,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907195,gs_oracle,4,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r1:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_readout_ablation_20260708_C001,sor_off,acmp,r1,original_assembled,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/sor_off/cityjson/gs_e5_C001_acmp_r1_run_1.city.json,25e5584dd8e1179fda36bef4c2f760e2622f2324bd85f331bc87700476a620f0,-45.934000000,true,true,2,0.292445814,1.003931093,712,0.999950120,LoD2 reference used for scoring/datum alignment only,0,0
