building_id,group_new,view_rank,view_idx,image_name,visibility_score,projected_area_px2,projected_roof_samples,roof_height_error_abs_median_m,roof_height_error_abs_p90_m,signed_height_error_median_m,roof_depth_error_abs_median_m,mono_crop_depth_step_p90_p10_m,ref_roof_z_span_p90_p10_m,metric_depth
DEBY_LOD2_4907198,양쪽 성공 6동,4,146,DJI_20241217095503_0034_D.JPG,0.77123756,136994.93,250,15.5079,20.4443,-15.5079,27.4975,24.1653,2.8327,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_4907198,양쪽 성공 6동,5,64,DJI_20241217084905_0196_D.JPG,0.75760908,87382.63,600,2.5349,4.8305,2.1992,47.5468,14.7289,2.8327,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084905_0196_D.npy
DEBY_LOD2_4907202,양쪽 성공 6동,1,146,DJI_20241217095503_0034_D.JPG,0.70424988,80525.34,267,8.4631,8.7807,-8.4149,34.5853,21.5371,3.6411,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_4907202,양쪽 성공 6동,2,161,DJI_20241217095533_0049_D.JPG,0.68163883,75817.32,286,4.3344,4.9223,-4.2099,40.7546,9.0561,3.6411,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095533_0049_D.npy
DEBY_LOD2_4907202,양쪽 성공 6동,3,134,DJI_20241217095439_0022_D.JPG,0.67871933,79274.42,286,1.5072,6.5692,1.1503,43.8338,10.6582,3.6411,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095439_0022_D.npy
DEBY_LOD2_4907202,양쪽 성공 6동,4,136,DJI_20241217095443_0024_D.JPG,0.66189158,53310.73,169,1.2930,7.2401,0.2363,41.5278,10.7619,3.6411,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095443_0024_D.npy
DEBY_LOD2_4907202,양쪽 성공 6동,5,133,DJI_20241217095437_0021_D.JPG,0.65512362,50091.41,160,3.5216,8.9079,-3.1065,39.4182,12.4063,3.6411,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095437_0021_D.npy
DEBY_LOD2_4908168,양쪽 성공 6동,1,146,DJI_20241217095503_0034_D.JPG,0.40923549,11493.79,52,15.2949,18.5203,15.2949,57.4532,27.6631,1.5650,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_4908168,양쪽 성공 6동,2,186,DJI_20241217095625_0075_D.JPG,0.40647914,14062.55,52,3.2031,6.6175,-3.2031,38.5475,16.6775,1.5650,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095625_0075_D.npy
DEBY_LOD2_4908168,양쪽 성공 6동,3,181,DJI_20241217095615_0070_D.JPG,0.38129169,13536.62,52,4.6351,5.1566,-4.6351,37.6185,5.6481,1.5650,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095615_0070_D.npy
