setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,0.7037,0.3098,0.1627,0.3939,0.1472,0.5410
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,0.6343,0.2736,0.1456,0.3607,0.1280,0.4887
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,0.6702,0.2867,0.1434,0.3836,0.1432,0.5268
voxel02,gs_e5_C001_corrected_s1_acmp_r1,acmp,r1,0.7036,0.1001,0.0622,0.6034,0.0380,0.6414
voxel02,gs_e5_C001_corrected_s1_dense_r1,dense,r1,0.6344,0.0937,0.0579,0.5407,0.0358,0.5765
voxel02,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,0.6703,0.1021,0.0585,0.5682,0.0437,0.6118
