building_id,cell_label,anchor_status,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,small_lt50,ref_roof_type,ref_roof_slope_group,record_note,learning_runs_started
DEBY_LOD2_42364659,cell_2_anchored,measured,5062,-41.083726,0.510582,0.916399,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907013,cell_2_anchored,measured,202,-24.558560,0.690746,0.307839,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907032,cell_2_anchored,measured,319,-26.392902,0.785923,0.148857,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907033,cell_2_anchored,measured,355,-24.096349,1.377241,0.336824,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907036,cell_2_anchored,measured,403,-24.418455,1.729978,0.282424,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907167,cell_2_anchored,measured,2688,-25.084966,1.270808,0.488789,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907169,cell_2_anchored,measured,156,-26.830304,1.954080,0.044299,false,slanted,sloped,inside count>=100 and inside z MAD>0.5m,0
DEBY_LOD2_4907508,cell_2_anchored,measured,156,-39.959552,1.228451,0.097682,false,multiple horizontal,horizontal,inside count>=100 and inside z MAD>0.5m,0
