building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,occlusion_frac_approx
DEBY_LOD2_4908161,454.5,23,400,0.0,220.53,220.53,24.24,0.74,67.35,0.294,1.0,66.043,53.371,0.077,0.024,0.0,0.116,0.7
DEBY_LOD2_4908162,104.74,7,111,0.0,224.18,224.18,21.86,0.709,66.54,0.254,1.0,121.511,90.939,0.037,0.0351,0.0,0.592,0.364
DEBY_LOD2_4908163,56.26,6,54,0.0,234.87,234.87,19.5,0.687,63.24,0.269,1.0,126.263,113.069,0.056,0.0283,0.0028,0.364,0.333
DEBY_LOD2_4908164,33.27,6,33,0.0,238.88,238.88,12.59,0.619,65.7,0.328,1.0,154.524,147.055,0.055,0.0283,0.0011,0.602,0.417
DEBY_LOD2_4908165,8.83,4,8,1.62,246.75,248.38,13.76,0.663,61.97,0.381,1.0,196.12,195.135,0.123,0.0173,0.0,0.725,0.727
DEBY_LOD2_4908166,29.09,10,34,2.68,264.26,266.94,13.31,0.658,62.21,0.382,1.0,204.413,198.445,0.061,0.0283,0.0,0.294,0.667
DEBY_LOD2_4908167,33.59,6,33,7.24,270.91,278.15,13.8,0.682,62.05,0.395,1.0,219.761,212.817,0.043,0.0392,0.0002,0.408,0.625
DEBY_LOD2_4908168,28.83,6,31,5.68,272.06,277.74,20.36,0.85,46.04,0.99,1.0,221.058,218.182,0.043,0.0337,0.0,0.747,0.571
DEBY_LOD2_4908169,16.93,10,20,7.1,268.0,275.1,21.06,0.834,61.36,0.382,1.0,212.508,205.4,0.056,0.0283,0.0,0.619,0.857
DEBY_LOD2_4908170,72.81,6,75,0.0,249.13,249.13,23.78,0.699,65.01,0.336,1.0,79.348,64.103,0.136,0.0175,0.0,0.418,0.571
DEBY_LOD2_4908172,39.8,6,41,0.0,243.9,243.9,27.71,0.717,69.48,0.067,1.0,73.607,70.29,0.061,0.028,0.0,0.575,0.857
DEBY_LOD2_4908176,35.62,4,34,4.03,290.82,294.85,19.25,0.778,58.23,0.557,1.0,213.335,193.036,0.026,0.0433,0.0,0.763,0.6
DEBY_LOD2_4908178,113.41,4,114,3.91,279.38,283.29,24.12,0.84,64.58,0.368,1.0,161.821,151.515,0.029,0.0392,0.0,0.481,0.455
DEBY_LOD2_4908179,118.25,7,119,0.74,268.64,269.38,22.92,0.842,61.84,0.361,1.0,159.093,148.207,0.042,0.0356,0.0,0.23,0.375
DEBY_LOD2_4908351,55.19,6,54,3.54,244.85,248.39,18.39,0.78,60.33,0.477,1.0,206.931,197.296,0.143,0.0175,0.0002,0.77,0.571
DEBY_LOD2_4908352,29.81,6,29,6.55,233.24,239.79,18.49,0.766,59.54,0.514,1.0,208.432,205.491,0.038,0.0351,0.0004,0.49,0.444
DEBY_LOD2_4908353,145.52,8,147,10.26,229.67,239.93,18.25,0.76,59.11,0.517,1.0,233.474,206.088,0.068,0.0262,0.0,0.303,0.333
DEBY_LOD2_4908354,29.19,4,28,9.36,237.25,246.61,18.64,0.758,55.66,0.538,1.0,216.612,213.614,0.003,0.1488,0.0,0.157,0.375
DEBY_LOD2_4959314,833.1,17,400,0.0,207.88,207.88,27.42,0.799,73.74,0.195,1.0,105.755,97.795,0.01,0.0708,0.0,0.176,0.0
DEBY_LOD2_4959320,4781.94,52,400,0.31,152.03,152.34,17.98,0.627,74.99,0.191,1.0,31.84,0.09,0.163,0.0136,0.0,0.254,0.0
DEBY_LOD2_4959322,391.51,4,400,24.54,312.64,337.19,19.79,0.744,58.23,0.53,1.0,234.512,195.215,0.01,0.0687,0.0,0.801,0.0
DEBY_LOD2_4959323,1358.78,12,400,9.17,328.39,337.56,19.23,0.763,63.03,0.47,1.0,232.928,160.093,0.042,0.0319,0.0,0.695,0.0
DEBY_LOD2_4959324,44.05,5,43,13.05,366.56,379.6,22.3,0.843,61.0,0.448,1.0,224.008,220.656,0.048,0.0323,0.0,0.549,1.0
DEBY_LOD2_4959325,825.01,21,400,10.31,207.82,218.12,24.9,0.873,70.18,0.363,1.0,215.772,209.346,0.072,0.0252,0.0145,0.18,0.0
DEBY_LOD2_4959326,1821.69,22,400,12.54,211.79,224.33,20.16,0.776,53.89,0.612,1.0,226.103,168.559,0.048,0.0317,0.0007,0.607,0.0
DEBY_LOD2_4959327,495.18,34,400,19.77,185.07,204.84,21.49,0.788,56.83,0.527,1.0,181.506,124.442,0.008,0.0952,0.0,0.331,0.0
DEBY_LOD2_4959336,609.05,15,400,7.31,148.58,155.9,21.46,0.657,67.94,0.315,1.0,152.611,57.333,0.064,0.0303,0.0644,0.445,0.0
DEBY_LOD2_4959340,384.72,10,397,11.01,178.05,189.06,19.56,0.758,69.81,0.292,1.0,228.581,205.859,0.121,0.0178,0.0,0.615,0.0
DEBY_LOD2_4959457,1371.82,11,400,8.82,313.53,322.35,25.72,0.869,63.37,0.341,1.0,207.227,182.554,0.022,0.0499,0.0012,0.316,1.0
DEBY_LOD2_4959458,601.39,9,400,33.01,309.59,342.6,14.42,0.674,53.98,0.553,1.0,237.468,221.346,0.025,0.051,0.0061,0.313,0.0
DEBY_LOD2_4959459,372.99,4,372,28.19,386.95,415.14,15.63,0.731,58.29,0.556,1.0,244.932,239.057,0.039,0.0351,0.0003,0.593,0.667
DEBY_LOD2_4959460,4699.41,17,400,30.56,246.78,277.35,15.66,0.706,59.26,0.515,1.0,239.898,229.012,0.012,0.0727,0.0126,0.42,0.0
DEBY_LOD2_4959461,906.4,14,400,11.62,186.67,198.29,24.17,0.863,68.61,0.394,1.0,217.764,210.924,0.04,0.0417,0.0001,0.531,0.0
DEBY_LOD2_4959463,61.3,6,63,21.51,154.73,176.24,18.18,0.749,62.87,0.406,1.0,246.467,245.109,0.094,0.0222,0.0,0.461,0.75
DEBY_LOD2_4959464,219.35,22,235,23.2,158.58,181.79,19.61,0.772,62.65,0.382,1.0,245.85,245.085,0.043,0.0348,0.0043,0.456,0.0
DEBY_LOD2_4959465,212.27,10,381,6.36,156.19,162.55,18.61,0.775,69.73,0.258,1.0,210.174,168.24,0.05,0.0328,0.0034,0.464,0.0
DEBY_LOD2_4959753,49.79,7,49,20.63,174.24,194.88,18.83,0.757,69.63,0.375,1.0,233.684,231.381,0.026,0.0457,0.0,0.498,1.0
DEBY_LOD2_4959758,116.97,24,126,0.0,142.62,142.62,31.48,0.837,81.06,0.104,1.0,83.231,75.194,0.053,0.0296,0.0053,0.459,0.333
DEBY_LOD2_4959759,59.05,6,58,0.0,161.67,161.67,31.31,0.818,76.51,0.163,1.0,84.424,81.812,0.018,0.0555,0.0,0.335,0.667
DEBY_LOD2_4959793,193.93,4,205,24.52,358.79,383.31,18.04,0.722,55.45,0.561,1.0,228.985,194.646,0.087,0.0217,0.0,0.763,1.0
DEBY_LOD2_60042,3629.75,187,400,24.09,312.62,336.7,16.45,0.727,59.63,0.511,1.0,241.556,224.562,0.128,0.0171,0.001,0.515,0.0
DEBY_LOD2_60097,161.02,9,196,1.15,240.04,241.19,16.75,0.677,66.57,0.406,1.0,175.471,129.608,0.068,0.0247,0.0,0.784,0.0
DEBY_LOD2_60098,195.93,16,293,1.33,257.0,258.33,14.44,0.667,71.26,0.345,1.0,131.28,108.355,0.06,0.0288,0.0069,0.099,0.0
DEBY_LOD2_60109,1838.39,13,400,0.04,192.99,193.03,22.76,0.804,67.88,0.177,1.0,109.229,62.916,0.031,0.0498,0.018,0.325,0.0
DEBY_LOD2_8568391,55.53,4,54,3.09,265.04,268.13,24.51,0.849,61.94,0.383,1.0,176.043,168.201,0.037,0.0351,0.0,0.309,0.625
DEBY_LOD2_8568392,5.8,4,4,3.75,266.5,270.25,24.05,0.854,61.75,0.378,1.0,187.271,180.111,0.038,0.0351,0.0,0.36,0.75
DEBY_LOD2_8568403,28.22,4,28,12.32,242.71,255.04,18.65,0.751,56.63,0.546,1.0,224.446,222.537,0.035,0.0397,0.002,0.212,0.5
DEBY_LOD2_8573617,34.76,4,34,0.0,143.65,143.65,12.04,0.559,78.53,0.079,1.0,3.242,2.221,0.084,0.0229,0.0001,0.775,0.5
DEBY_LOD2_8573847,696.58,29,400,3.14,149.67,152.81,22.85,0.794,79.53,0.146,1.0,120.284,47.722,0.061,0.0275,0.001,0.429,0.5
DEBY_LOD2_8573848,1780.97,40,400,6.55,147.77,154.31,20.41,0.773,66.51,0.279,1.0,204.856,181.172,0.05,0.0412,0.0933,0.639,0.0
DEBY_LOD2_8573849,840.7,40,400,18.64,173.65,192.29,21.18,0.792,61.51,0.471,1.0,209.547,162.017,0.029,0.0415,0.0,0.329,0.0
