patch_id,cell_count,area_m2,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_width_m,bbox_height_m,bbox_diagonal_m,cell_footprint_convex_hull_area_m2,cell_footprint_hull_fill_ratio,relative_height_min_m,relative_height_median_m,relative_height_p95_m,relative_height_max_m,relative_height_range_m,relative_height_mad_m,local_rmse_median_m,local_rmse_p95_m,local_rmse_max_m,z_std_median_m,z_std_p95_m,z_std_max_m,local_to_global_normal_median_deg,local_to_global_normal_p95_deg,local_to_global_normal_max_deg,global_plane_a,global_plane_b,global_plane_c_center,global_plane_rmse_m,global_plane_max_abs_residual_m,internal_edge_theta_p50_deg,internal_edge_theta_p95_deg,internal_edge_theta_max_deg,internal_edge_height_p50_m,internal_edge_height_p95_m,internal_edge_height_max_m,internal_edge_cross_plane_p50_m,internal_edge_cross_plane_p95_m,internal_edge_cross_plane_max_m,source_planar_fraction_weighted_mean,source_planar_fraction_min,source_below_0_70_cell_fraction,rejected_normal_edges,rejected_height_edges,rejected_cross_plane_edges,rejected_global_rank_edges,rejected_global_rmse_edges,rejected_global_max_residual_edges,rejected_global_normal_edges
UASPATCH_12ff643a0733a835ca6c,85,85.000000,690980.740,5336271.050,690992.740,5336292.050,12.000000,21.000000,24.186773,170.000000,0.500000000,25.187200,25.613000,26.036480,26.113500,0.926300,0.078900,0.120644089,0.261012144,0.295243284,0.041078259,0.162431870,0.550344462,4.189700233,8.649036746,10.503985472,-0.009737988781,0.002830355276,583.895883529412,0.140932751,0.575158717,2.259788336,5.932189517,11.009693654,0.028892000,0.426921000,0.548674000,0.061050000,0.285259300,0.356436000,0.320000000,0.320000000,1.000000000,0,0,0,2,0,2,0
UASPATCH_13cfc95ef4e256cdc180,22,22.000000,690923.740,5335912.050,690934.740,5335917.050,11.000000,5.000000,12.083046,31.500000,0.698412698,25.939600,27.629900,27.918940,28.008400,2.068800,0.151800,0.112508824,0.257689523,0.291786865,0.079331929,0.084908701,0.234126732,4.335738944,12.106966842,12.655462962,-0.098609639058,-0.267664468334,576.945859090909,0.046552879,0.161173787,2.926757748,6.943294094,7.904207809,0.036699000,0.136414800,0.169090000,0.058552000,0.172371200,0.188920000,0.624390244,0.624390244,1.000000000,0,0,0,0,12,15,6
UASPATCH_1406fda10f6c0235d7ba,594,594.000000,690997.740,5335908.050,691026.740,5335968.050,29.000000,60.000000,66.640828,688.500000,0.862745098,18.504500,20.749850,22.954465,23.348100,4.843600,1.163400,0.080455731,0.226274524,0.299328573,0.126058727,0.206610057,0.497171187,0.735186011,11.509514376,18.385430165,-0.400561446879,0.157239916033,581.367182828283,0.068962570,0.585861432,0.710906416,6.869793898,12.593450631,0.026430000,0.244146641,0.573664000,0.033598000,0.239746233,0.495852000,0.420509375,0.420509375,1.000000000,0,6,6,6,185,186,191
UASPATCH_15452f07fa1e2a671fb8,55,55.000000,690919.740,5336166.050,690930.740,5336175.050,11.000000,9.000000,14.212670,70.500000,0.780141844,26.018500,26.459300,26.771880,27.102300,1.083800,0.108000,0.134917313,0.242335244,0.270348750,0.027884490,0.087619526,0.355857150,4.479482566,9.551782040,12.658367317,-0.007666228880,0.034405327992,582.962709090909,0.163978643,0.561465379,2.592424512,5.349944258,12.865307588,0.057290500,0.390481900,0.516843000,0.089524000,0.345428900,0.482510000,0.420509375,0.420509375,1.000000000,0,0,0,4,0,1,0
UASPATCH_15c06745a1857c2050d6,25,25.000000,690991.740,5336077.050,690995.740,5336087.050,4.000000,10.000000,10.770330,30.500000,0.819672131,2.776800,3.154800,3.707820,3.724800,0.948000,0.023900,0.197074659,0.265918179,0.277932667,0.096599554,0.195601034,0.199468502,5.385400213,8.583421886,9.335856688,0.227340506634,-0.026626116606,562.125256000000,0.154553949,0.278411033,3.616291695,6.657904103,8.535478719,0.120363000,0.303647400,0.381139000,0.132002000,0.269088000,0.404004000,0.130653266,0.130653266,1.000000000,0,0,0,0,0,0,0
UASPATCH_1607461646a6dc9df3f3,97,97.000000,690931.740,5335864.050,690941.740,5335884.050,10.000000,20.000000,22.360680,146.500000,0.662116041,14.511300,14.557000,27.050420,28.038400,13.527100,0.026900,0.116410412,0.288078437,0.295965930,0.010816571,0.051181809,0.154945913,2.201195957,14.940470817,16.110070702,0.001719185986,0.002585081417,575.494859793815,0.084508543,0.359594876,1.983101127,8.573023083,11.536642121,0.027259500,0.287854000,0.404380000,0.051390000,0.306226000,0.514166000,0.530813953,0.530813953,1.000000000,0,4,0,2,0,0,0
UASPATCH_1897c507f21bb250b98f,59,59.000000,690989.740,5335909.050,691002.740,5335920.050,13.000000,11.000000,17.029386,92.500000,0.637837838,19.736200,21.182500,22.605610,22.956000,3.219800,0.752100,0.112510028,0.234293741,0.266759839,0.116374215,0.126776348,0.287418016,2.376385420,14.776125325,16.373361435,0.144826506266,0.368831528974,581.579413559322,0.042729375,0.196271840,2.604121663,8.817457355,11.804310670,0.026759500,0.183167800,0.228411000,0.039080000,0.254852400,0.293320000,0.420509375,0.420509375,1.000000000,0,0,0,2,34,41,33
UASPATCH_1d1bdc2ff2ec1b922279,34,34.000000,690887.740,5335933.050,690900.740,5335939.050,13.000000,6.000000,14.317821,46.500000,0.731182796,7.855300,8.299850,8.328115,8.339500,0.484200,0.015750,0.024248445,0.283804846,0.298705681,0.013940080,0.016291309,0.016840706,1.067178415,9.287904316,10.117374069,0.004889545889,0.006275478782,560.982197058823,0.017670645,0.049814367,1.076201037,7.098763212,9.580413917,0.021575000,0.105986700,0.198574000,0.020058000,0.153906200,0.332962000,0.131697342,0.131697342,1.000000000,0,0,0,2,0,0,0
UASPATCH_1d24e9e448c3834aefcc,46,46.000000,690900.740,5336207.050,690910.740,5336216.050,10.000000,9.000000,13.453624,65.000000,0.707692308,3.532900,3.613450,3.657875,3.755100,0.222200,0.026850,0.018100974,0.250197269,0.286833885,0.014657551,0.018131368,0.020592013,0.910390972,13.456762438,17.191172000,0.007455263473,-0.013427690886,560.091982608696,0.032126515,0.174901522,0.513112554,7.777988664,9.644205137,0.009473000,0.140997800,0.306423000,0.010430000,0.245870300,0.493016000,0.224509804,0.224509804,1.000000000,0,1,0,8,0,3,0
UASPATCH_1df0e45fc7bfee9c968f,21,21.000000,690912.740,5336180.050,690920.740,5336187.050,8.000000,7.000000,10.630146,42.500000,0.494117647,22.836500,22.891500,23.410900,23.429400,0.592900,0.022900,0.130336562,0.248040880,0.286894811,0.012970680,0.399878037,0.434471811,2.168625421,7.774665691,7.943789760,0.024264434665,0.015259528573,579.410347619048,0.151711630,0.454885933,2.850065513,5.803615569,7.537123986,0.028847000,0.450064000,0.468701000,0.022870000,0.334945800,0.399534000,0.420509375,0.420509375,1.000000000,0,0,0,3,0,0,0
