stable_id,unit_semantics,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,independent_reference_component_ids,independent_reference_component_count,independent_reference_score_cells,current_image_view_support,mvs_support_cells,c4_support_cells,c5_prior_available_by_stable_id,c5_input_alignment_ready,u_target,e_paired,execution_tile_id,spatial_group_id,split,held_out_accessed,exclusion_reason,reference_candidate_score_cells,reference_candidate_patch_ids,e_paired_candidate,candidate_exclusion_reason
DEBY_LOD2_60097,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690861.331,5336193.799,690878.077,5336209.836,,0,0,97,90,242,true,true,true,false,TILE_001_006,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,2,UASPATCH_b416b4eac5ca4569341c,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_60098,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690809.546,5336093.763,690828.159,5336111.098,,0,0,112,118,285,true,true,true,false,TILE_000_004,GROUP_9c6a5205358a819b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_60109,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690729.070,5335934.090,690796.680,5335984.000,,0,0,122,67,26,true,true,true,false,TILE_000_001,GROUP_734f9ba9525ff85a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_8568391,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690786.390,5336021.420,690797.850,5336030.050,,0,0,109,11,62,true,true,true,false,TILE_000_003,GROUP_b5fd5e5ac3283159,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_8568392,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690792.831,5336019.202,690795.951,5336022.267,,0,0,103,10,15,true,true,true,false,TILE_000_003,GROUP_b5fd5e5ac3283159,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_8568403,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690834.527,5335920.207,690840.783,5335929.722,,0,0,111,47,57,true,true,true,false,TILE_000_001,GROUP_734f9ba9525ff85a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,10,UASPATCH_61f6e7a87bf259854b4c,true,
DEBY_LOD2_8573617,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690796.393,5336345.022,690803.307,5336354.053,,0,0,48,0,30,true,true,true,false,TILE_000_009,GROUP_7805fa2316d2e6ac,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_8573847,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691141.300,5336297.870,691172.350,5336340.460,,0,0,66,420,418,true,true,true,false,TILE_007_009,GROUP_da6cc99dfda511b7,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,40,UASPATCH_2b1d107fc33a6bb0eaf3;UASPATCH_2b3741217844432c40cc;UASPATCH_595edbc45a4788906b28,true,
DEBY_LOD2_8573848,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691034.660,5336320.730,691115.520,5336367.170,,0,0,94,1904,1660,true,true,true,false,TILE_005_009,GROUP_03be68f110a2a800,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,505,UASPATCH_0b382d9c95ede5f28ffa;UASPATCH_860a2393fa10c9c43c6c,true,
DEBY_LOD2_8573849,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691090.770,5336267.960,691137.180,5336322.610,,0,0,95,2152,1167,true,true,true,false,TILE_006_008,GROUP_bf7c45313ca8512b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,354,UASPATCH_2b1d107fc33a6bb0eaf3;UASPATCH_44b925a3cb5be2502e4b;UASPATCH_595edbc45a4788906b28;UASPATCH_68c9b6d2d2b159185612;UASPATCH_abcd5460445e9334c577;UASPATCH_d1ed2ad2768be7f0b1ad,true,
