patch_id,canonical_buildings_with_score_cells,eligible_buildings_with_score_cells,multi_building
UASPATCH_9ca12975b0b948fafc89,4,3,true
UASPATCH_9e4b8d2fb331a69d1a6c,2,2,true
UASPATCH_9e5d19399d8c689c6eca,1,1,false
UASPATCH_9fad454219b2ba8aca00,3,3,true
UASPATCH_a1a630a1573425c82b60,2,2,true
UASPATCH_a536cba326915d35c442,2,2,true
UASPATCH_a54089eac6105e2dd5cd,1,1,false
UASPATCH_a5b4c9c6d4b8842526d7,3,3,true
UASPATCH_a5e19922759433273217,3,2,true
UASPATCH_a6e76efde2ebe2670f29,1,1,false
UASPATCH_a73c56325a3cd1c36295,2,2,true
UASPATCH_abb31684a2bbaf9d8a68,2,2,true
UASPATCH_abcd5460445e9334c577,1,1,false
UASPATCH_ac78da824c7791eaba09,2,2,true
UASPATCH_acb7812838f134989dff,3,3,true
UASPATCH_ad158225e611ea7e6f3f,2,2,true
UASPATCH_ae2b27079d565d98d693,3,3,true
UASPATCH_aeae990664d7c7f4b023,4,4,true
UASPATCH_b00073cea83aaa4475ee,1,1,false
UASPATCH_b04aa7218b096d6f03c9,2,1,true
UASPATCH_b0b9e106668185446a80,1,1,false
UASPATCH_b416b4eac5ca4569341c,3,2,true
UASPATCH_b52293d46f90ae9d0caf,4,4,true
UASPATCH_bc37c5021ce4cc803c12,2,2,true
UASPATCH_be70bdc029eb2292b136,1,1,false
UASPATCH_c11fa5c44339ac0d67f3,2,2,true
UASPATCH_c1501dec99404b89ca31,2,2,true
UASPATCH_c235b8f25c205a19550f,2,2,true
UASPATCH_c64aaa4c766aa9132d84,2,2,true
UASPATCH_c8924edf091cf6c7956c,3,3,true
UASPATCH_ca84c396c2932bedcc67,3,3,true
UASPATCH_ce1acfb3879dc4f5afaf,2,2,true
UASPATCH_ce46e4b46781c5a9eab3,0,0,false
UASPATCH_cf767c28bf4bc75ef64c,2,2,true
UASPATCH_d0cc37b9c0522663d43d,6,6,true
UASPATCH_d11f3b5ec57c9e38e86e,1,1,false
UASPATCH_d1ed2ad2768be7f0b1ad,1,1,false
UASPATCH_d1fb8ff82dfb8aff72ab,1,1,false
UASPATCH_dc4781c3b74c5c31a23f,1,1,false
UASPATCH_e0b5913902abda085d61,2,2,true
UASPATCH_e6fcb3551db5cc395d6c,1,1,false
UASPATCH_eb3054d5a5b4e8374707,2,2,true
UASPATCH_ed39019847c59fe256ef,2,2,true
UASPATCH_ef0a367b936ea730cfac,1,1,false
UASPATCH_ef97ec111d9552460e1d,2,2,true
UASPATCH_efbd2288b2a537c92237,1,1,false
UASPATCH_f1e9f81acf8780b135b1,1,1,false
UASPATCH_f2828ca96095d8e3ebf1,2,2,true
UASPATCH_f538fc87f7de503b938f,2,2,true
UASPATCH_f5559b5d995c0aace553,2,2,true
UASPATCH_f685983cb01163769100,1,1,false
UASPATCH_f98d75e310e05646aed9,2,2,true
UASPATCH_fa5d0469035c6a11ac1d,2,2,true
UASPATCH_faa1ff0da9de56ec7bc8,1,1,false
UASPATCH_fafbddf43a9da9a05b81,1,1,false
UASPATCH_fba29ad0725c613b322b,2,2,true
UASPATCH_fbe79f91869b50d7e969,0,0,false
UASPATCH_fd759aa9abfe72d0c00a,2,2,true
UASPATCH_fe2321430a75e310bc33,2,2,true
UASPATCH_ff829de92c6725c4d870,1,1,false
UASPATCH_ff82f5334d866df1dc79,2,2,true
