arm,step,loss_total,loss_photo,loss_depth_weighted,loss_depth_share,loss_distort_weighted,loss_distort_share,w_depth,w_distort,n_primitives
dense,24000,0.249471,0.0942466,0.0234144,0.0938563,0.0101162,0.0405504,0.0792386,100,530332
dense,25000,0.602723,0.168798,0.308363,0.511617,0.0185411,0.0307622,0.0733843,100,530332
dense,26000,0.53558,0.121249,0.154526,0.288521,0.0111749,0.0208651,0.0679626,100,530332
dense,27000,0.264966,0.13813,0.0209181,0.0789464,0.0149401,0.056385,0.0629414,100,530332
dense,28000,0.404376,0.1178,0.0971515,0.240251,0.0117043,0.028944,0.0582912,100,530332
dense,29000,0.353777,0.133878,0.116963,0.330611,0.0107774,0.0304637,0.0539846,100,530332
acmp,0,18.8856,0.450729,18.1282,0.959892,0.126007,0.00667212,0.499962,100,287676
acmp,600,12.4808,0.232744,11.6395,0.932594,0.522016,0.0418255,0.47746,100,297086
acmp,1000,3.9211,0.349396,3.05168,0.77827,0.424365,0.108226,0.463024,100,308803
acmp,2000,34.2607,0.367627,33.2169,0.969534,0.582375,0.0169983,0.428815,100,341544
acmp,3000,1.19638,0.266589,0.769848,0.643482,0.121008,0.101145,0.397134,100,387531
acmp,4000,14.2042,0.289571,13.7872,0.970642,0.0638189,0.00449297,0.367793,100,422106
acmp,5000,4.85018,0.280187,4.29206,0.884929,0.214457,0.0442164,0.34062,100,299586
acmp,6000,0.323011,0.125521,0.16751,0.518589,0.0131153,0.0406032,0.315454,100,382097
acmp,7000,2.20441,0.165404,1.99277,0.903991,0.0127412,0.00577987,0.292148,100,323524
acmp,8000,1.51423,0.152047,1.28316,0.847401,0.0490048,0.0323628,0.270564,100,395233
acmp,9000,0.172347,0.0986669,0.0497078,0.288416,0.0146704,0.0851209,0.250574,100,478090
acmp,10000,2.11666,0.279305,1.79098,0.846133,0.0238651,0.0112749,0.232062,100,403368
acmp,11000,0.519268,0.108126,0.376128,0.724342,0.0164968,0.0317693,0.214917,100,474267
acmp,12000,0.860417,0.172225,0.631154,0.733544,0.0299762,0.0348391,0.199038,100,551198
acmp,13000,0.44151,0.171113,0.239454,0.542353,0.0154782,0.0350574,0.184333,100,494306
acmp,14000,0.798912,0.154246,0.56416,0.70616,0.0576258,0.0721302,0.170714,100,561299
acmp,15000,0.831962,0.18394,0.240327,0.288868,0.0252071,0.0302983,0.158102,100,632972
acmp,16000,0.410854,0.1611,0.0712231,0.173354,0.0206295,0.0502114,0.146421,100,572045
acmp,17000,0.709558,0.159302,0.376224,0.530223,0.0172166,0.0242638,0.135603,100,615070
acmp,18000,1.06626,0.156136,0.766561,0.718927,0.0189808,0.0178014,0.125585,100,665736
acmp,19000,0.342872,0.128018,0.0712649,0.207847,0.0160638,0.0468506,0.116306,100,604277
acmp,20000,0.553571,0.152949,0.279342,0.504619,0.0140684,0.0254139,0.107713,100,637737
acmp,21000,0.283351,0.0902134,0.0660265,0.23302,0.0116993,0.0412889,0.0997555,100,637737
acmp,22000,2.95131,0.134027,2.65158,0.898442,0.0463578,0.0157075,0.0923854,100,637737
acmp,23000,3.295,0.150854,1.60816,0.488059,0.0277938,0.00843512,0.0855598,100,637737
acmp,24000,0.228276,0.0912912,0.023125,0.101303,0.0100288,0.0439329,0.0792386,100,637737
acmp,25000,0.609455,0.164454,0.310411,0.509326,0.0200726,0.0329353,0.0733843,100,637737
acmp,26000,0.392932,0.118433,0.156301,0.397782,0.0121635,0.0309557,0.0679626,100,637737
acmp,27000,0.266782,0.135606,0.0204109,0.0765078,0.0155989,0.0584705,0.0629414,100,637737
acmp,28000,0.327294,0.115717,0.0998551,0.305093,0.0116621,0.035632,0.0582912,100,637737
acmp,29000,0.48596,0.127922,0.115798,0.238286,0.0143778,0.0295863,0.0539846,100,637737
