run_id,building_id,arm,replicate,delta_m,cell_ix,cell_iy,cell_center_x,cell_center_y,region,p0_base_signed_error_m,perturbed_p0_signed_error_m,perturbed_p0_abs_error_m,post_gs_point_count,post_gs_signed_error_m,post_gs_abs_error_m,return_amount_m,return_condition_met,coverage_grid_m,score_status
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381580,10672102,690790.482500000,5336051.362153846,edge,-0.375431146,-4.375431146,4.375431146,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381581,10672102,690790.750000000,5336051.250000000,edge,-0.362530954,-4.362530954,4.362530954,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381581,10672103,690790.750000000,5336051.750000000,edge,-0.364836305,-4.364836305,4.364836305,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381581,10672104,690790.901101836,5336052.250000000,edge,-0.366509013,-4.366509013,4.366509013,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381581,10672105,690790.974288397,5336052.635395604,edge,-0.367798321,-4.367798321,4.367798321,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672101,690791.399250870,5336050.918434415,edge,-0.326329141,-4.326329141,4.326329141,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672102,690791.250000000,5336051.250000000,edge,-0.337776346,-4.337776346,4.337776346,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672103,690791.250000000,5336051.750000000,edge,-0.343722725,-4.343722725,4.343722725,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672104,690791.250000000,5336052.250000000,edge,-0.349912141,-4.349912141,4.349912141,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672105,690791.250000000,5336052.750000000,edge,-0.354682889,-4.354682889,4.354682889,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672106,690791.250000000,5336053.250000000,edge,-0.357962081,-4.357962081,4.357962081,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672107,690791.435951586,5336053.750000000,edge,-0.359634788,-4.359634788,4.359634788,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381582,10672108,690791.491713272,5336054.043637362,edge,-0.360617126,-4.360617126,4.360617126,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672101,690791.750000000,5336050.750000000,edge,-0.301435637,-4.301435637,4.301435637,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672102,690791.750000000,5336051.250000000,edge,-0.313748616,-4.313748616,4.313748616,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672103,690791.750000000,5336051.750000000,edge,-0.319938032,-4.319938032,4.319938032,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672104,690791.750000000,5336052.250000000,edge,-0.326127448,-4.326127448,4.326127448,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672105,690791.750000000,5336052.750000000,edge,-0.332316865,-4.332316865,4.332316865,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672106,690791.750000000,5336053.250000000,edge,-0.338506281,-4.338506281,4.338506281,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672107,690791.750000000,5336053.750000000,edge,-0.344695697,-4.344695697,4.344695697,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672108,690791.750000000,5336054.250000000,edge,-0.349561133,-4.349561133,4.349561133,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672109,690791.875851419,5336054.750000000,edge,-0.351087856,-4.351087856,4.351087856,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381583,10672110,690791.961663189,5336055.201879121,edge,-0.352599578,-4.352599578,4.352599578,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381584,10672100,690792.458048780,5336050.466036672,edge,-0.270362619,-4.270362619,4.270362619,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381584,10672101,690792.250000000,5336050.750000000,edge,-0.284606804,-4.284606804,4.284606804,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381584,10672102,690792.250000000,5336051.250000000,edge,-0.289963923,-4.289963923,4.289963923,0,,,,false,0.500000000,complete
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,1381584,10672103,690792.250000000,5336051.750000000,interior,-0.296153339,-4.296153339,4.296153339,0,,,,false,0.500000000,complete
