bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B2,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,1.0,0.9876666666666667,1.0,0.9708333333333333,1.274089855941931e-15,6.69808929350998e-15,0.8466666666666667,0.9994166597181691,0.9993333333333333,0.9995,1.7763568394002505e-15,2.012147367894347,0.5589936959968972,0.16568023262714543,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B2,
B2,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B2,source artifact unavailable
B2,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,1.0,0.9903333333333333,1.0,0.9503333333333334,1.1763443728944331e-15,6.990299993591321e-15,0.5116666666666667,0.9936626411718663,0.9916666666666667,0.9956666666666667,0.4710039968325521,2.0815593079997248,0.8439047655335784,0.19871255124475354,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B2,
B2,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,0.45066666666666666,0.963,0.0,0.9316666666666666,1.3818650366484444e-15,7.209008402154581e-15,0.4663333333333333,0.828619071560248,0.8183333333333334,0.8391666666666666,0.5222468147598232,2.039280260808789,1.7919161866168214,0.2705572669240168,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B2,
B2,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,1.0,0.9876666666666667,0.0,0.9433333333333334,1.129924122342173e-15,6.55775710319736e-15,0.4753333333333334,0.8938517000465767,0.869,0.9201666666666667,0.6247989662139943,2.0986695350991122,1.0047527280462876,0.22452077583469165,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B2,
B8,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,15,6,8,1,0.9713333333333334,0.977,1.0,0.9648333333333333,1.5072741947424268e-15,4.0377597541260624e-15,0.871,0.9940813144437923,0.9955,0.9926666666666667,0.0009999999999994458,1.6445875748930436,0.7489718611553016,0.18064461107618812,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B8,
B8,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B8,source artifact unavailable
B8,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,15,6,8,1,1.0,0.9786666666666667,0.586,0.944,1.5089057761730021e-15,4.453538276848183e-15,0.505,0.9170307105215336,0.906,0.9283333333333333,0.46113781590596403,1.5768405803192445,0.8854303155636295,0.21840048693065944,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B8,
B8,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,15,6,8,1,0.988,0.973,0.0,0.9395,1.5804511946144956e-15,4.384982005077581e-15,0.486,0.8881420621521916,0.8706666666666667,0.9063333333333333,0.6686138020521941,1.615097234944657,0.967329114331228,0.23522339459204183,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B8,
B8,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,15,6,8,1,0.8753333333333333,0.969,0.0,0.9326666666666666,1.531130234729672e-15,4.370826661513609e-15,0.48900000000000005,0.8740526115135341,0.8586666666666667,0.89,0.5975710469081168,1.5625251203294277,0.9873972486570328,0.24922539455377113,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B8,
B6,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.5713333333333334,0.9353333333333333,1.0,0.9383333333333334,1.513268993571547e-15,5.4250691043329224e-15,0.7706666666666666,0.9365672686297185,0.9498333333333333,0.9236666666666666,3.6069999999999993,0.6464930438013987,3.905623131240507,0.243570355337679,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B6,
B6,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B6,source artifact unavailable
B6,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.521,0.943,1.0,0.9286666666666666,1.5949491021093687e-15,5.483238945021996e-15,0.4106666666666667,0.9319523128278494,0.9386666666666666,0.9253333333333333,3.38937412340141,0.6639007633208525,3.60780420490863,0.2399477653748128,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B6,
B6,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.2906666666666667,0.931,0.0,0.8928333333333334,1.5670807056192786e-15,5.482295255451064e-15,0.39699999999999996,0.822612641815235,0.8293333333333334,0.816,2.960689442070379,0.6162998825082813,4.1841916578437175,0.319278289594209,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B6,
B6,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.363,0.9383333333333334,0.0,0.897,1.5570329601879607e-15,5.494074115699125e-15,0.4343333333333333,0.8335803259022293,0.832,0.8351666666666666,3.0026247571795004,0.658062210212985,3.6486233589429746,0.2948882372101992,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B6,
B3,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,83,40,42,1,0.13633333333333333,0.5933333333333334,0.935,0.7758333333333334,1.2258565519257349e-15,7.405561041562761e-15,0.6246666666666667,0.43800785207700105,0.4216666666666667,0.45566666666666666,0.0,1.0238178731397176,12.843803156521508,1.1023835402131719,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B3,
B3,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B3,source artifact unavailable
B3,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,83,40,42,1,0.16666666666666666,0.612,0.909,0.7955,1.2154140225948219e-15,7.645558626752743e-15,0.25499999999999995,0.4486254869226488,0.4325,0.466,1.8207417446001521,0.9731801334551874,11.16507198236834,1.0363764128376793,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B3,
B3,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,83,40,42,1,0.12466666666666666,0.58,0.30833333333333335,0.7541666666666667,1.3165116429716486e-15,7.645558626752743e-15,0.231,0.3404918032786885,0.335,0.3461666666666667,3.7663575751335223,0.9546524899005119,10.102817385236577,1.0557442811780529,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B3,
B3,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,83,40,42,1,0.16333333333333333,0.5816666666666667,0.22633333333333333,0.756,1.2825781912067365e-15,7.370489162165992e-15,0.23500000000000001,0.34483538597762214,0.3358333333333333,0.35433333333333333,3.6932806700854,0.9983135487638483,10.319838024153672,1.0316127197351301,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B3,
B123,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,55,26,28,1,0.24666666666666667,0.6463333333333333,0.9776666666666667,0.8361666666666666,1.5682071461094786e-15,7.283939294865767e-15,0.65,0.6321675889328063,0.647,0.618,0.0,0.7431837443013092,5.932051009053843,0.7866754955872073,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B123,
B123,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B123,source artifact unavailable
