stage3_algo_version,metric_version,source,n_rows,n_ok,mean_roof_cov,mean_wall_cov,mean_ground_cov,mean_semantic_face_acc,mean_support_coverage,mean_F,mean_precision,mean_recall,mean_h_err,mean_vol_ratio,mean_hausdorff,mean_chamfer,mean_open_edges,mean_nonmanifold_edges
Stage3Algo-v0,Metric-v0,E0_GT_clean_upper_bound,10,10,0.6101333333333334,0.8564333333333334,0.991,0.9057666666666666,0.7746999999999999,0.8404230530237564,0.84695,0.8346,0.5251000000000005,1.2408733683800626,3.5234230680412018,0.42919293799483305,0.0,0.0
Stage3Algo-v0,Metric-v0,E1_Baseline_rendered,10,0,,,,,,,,,,,,,,
Stage3Algo-v0,Metric-v0,E2_Mutual_rendered,10,10,0.6112666666666666,0.8545333333333334,0.8384666666666666,0.8863166666666666,0.45380000000000004,0.8047983451534482,0.8109333333333334,0.7996833333333334,0.907610764592986,1.0194886484384946,3.3025448216416122,0.4532131052380034,0.0,0.0
Stage3Algo-v0,Metric-v0,E3_Baseline_primitive,10,9,0.4056666666666667,0.8357037037037037,0.1451851851851852,0.8633888888888889,0.39629629629629626,0.6913829053208531,0.6888888888888889,0.694574074074074,1.1917578614257476,1.123477719045609,3.8867813945031235,0.5308410483049874,0.0,0.0
Stage3Algo-v0,Metric-v0,E4_Mutual_primitive,10,9,0.4630370370370371,0.8331481481481481,0.02514814814814815,0.8698333333333333,0.40448148148148155,0.6941183415433353,0.6907777777777778,0.6979444444444444,1.1876940159223046,1.2190206253114477,3.9062258842872257,0.5331281731410651,0.0,0.0
Stage3Algo-v0,Metric-v1,E0_GT_clean_upper_bound,10,10,0.6143333333333334,0.8579666666666667,0.9894333333333332,0.9097833333333334,0.7745333333333332,0.8383704880549694,0.8442833333333335,0.83295,0.5251000000000005,1.240873368380067,3.4765093646498975,0.4348023547171964,0.0,0.0
Stage3Algo-v0,Metric-v1,E1_Baseline_rendered,10,0,,,,,,,,,,,,,,
Stage3Algo-v0,Metric-v1,E2_Mutual_rendered,10,10,0.6090333333333333,0.8542666666666665,0.8374333333333333,0.8896666666666668,0.4493666666666667,0.803260939990199,0.8114833333333333,0.79625,0.907610764592986,1.0194911575493755,3.2801975332836113,0.4575642266537601,0.0,0.0
Stage3Algo-v0,Metric-v1,E3_Baseline_primitive,10,9,0.4116296296296296,0.837037037037037,0.145,0.8765,0.3886666666666667,0.6917935606010001,0.6913148148148147,0.6929074074074074,1.1917578614257476,1.12347845651593,3.8882375397333746,0.5334750684589388,0.0,0.0
Stage3Algo-v0,Metric-v1,E4_Mutual_primitive,10,9,0.46388888888888885,0.8358148148148148,0.025444444444444447,0.8820925925925925,0.4013333333333333,0.6912127850319361,0.6902962962962963,0.6925,1.1876940159223046,1.2190224998066184,3.9234045079479163,0.5386187716589946,0.0,0.0
Stage3Algo-v1,Metric-v0,E0_GT_clean_upper_bound,10,10,0.6101333333333334,0.8564333333333334,0.991,0.9057666666666666,0.7746999999999999,0.8404230530237564,0.84695,0.8346,0.5251000000000005,1.2408733683800626,3.5234230680412018,0.42919293799483305,0.0,0.0
Stage3Algo-v1,Metric-v0,E1_Baseline_rendered,10,0,,,,,,,,,,,,,,
Stage3Algo-v1,Metric-v0,E2_Mutual_rendered,10,10,0.6112666666666666,0.8545333333333334,0.8384666666666666,0.8863166666666666,0.45380000000000004,0.8047983451534482,0.8109333333333334,0.7996833333333334,0.907610764592986,1.0194886484384946,3.3025448216416122,0.4532131052380034,0.0,0.0
Stage3Algo-v1,Metric-v0,E3_Baseline_primitive,10,10,0.4120333333333333,0.7874000000000001,0.13066666666666665,0.8471,0.4053,0.6690315796983042,0.6918666666666666,0.6598,2.151077437755707,1.0463404556133122,4.528734117168798,0.6890942435349514,0.0,0.0
Stage3Algo-v1,Metric-v0,E4_Mutual_primitive,10,10,0.5167333333333334,0.7902666666666667,0.02263333333333333,0.8440833333333334,0.4177333333333334,0.6808680294752179,0.7044666666666667,0.67065,1.3247135502553502,1.1237393400105309,3.7792878305579487,0.546828932352412,0.0,0.0
Stage3Algo-v1,Metric-v1,E0_GT_clean_upper_bound,10,10,0.6143333333333334,0.8579666666666667,0.9894333333333332,0.9097833333333334,0.7745333333333332,0.8383704880549694,0.8442833333333335,0.83295,0.5251000000000005,1.240873368380067,3.4765093646498975,0.4348023547171964,0.0,0.0
Stage3Algo-v1,Metric-v1,E1_Baseline_rendered,10,0,,,,,,,,,,,,,,
Stage3Algo-v1,Metric-v1,E2_Mutual_rendered,10,10,0.6090333333333333,0.8542666666666665,0.8374333333333333,0.8896666666666668,0.4493666666666667,0.803260939990199,0.8114833333333333,0.79625,0.907610764592986,1.0194911575493755,3.2801975332836113,0.4575642266537601,0.0,0.0
Stage3Algo-v1,Metric-v1,E3_Baseline_primitive,10,10,0.4179666666666667,0.7873,0.1305,0.8611833333333333,0.3996666666666667,0.6691657416684421,0.6932999999999999,0.6582166666666667,2.151077437755707,1.0463409295759578,4.530404245115534,0.695419445889071,0.0,0.0
Stage3Algo-v1,Metric-v1,E4_Mutual_primitive,10,10,0.5175,0.7906,0.0229,0.8574833333333333,0.41479999999999995,0.6785949912359827,0.7033333333333334,0.6663333333333333,1.3247135502553502,1.1237420662908981,3.794765087831993,0.5526354481473836,0.0,0.0
