setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,718,784,0.9158163265306123
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,631,644,0.9798136645962733
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,643,673,0.9554234769687965
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,565,664,0.8509036144578314
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,812,850,0.9552941176470588
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,708,710,0.9971830985915493
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1400,1438,0.9735744089012517
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,88,393,0.22391857506361323
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,267,641,0.4165366614664587
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,18,114,0.15789473684210525
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,12,454,0.02643171806167401
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,9,474,0.0189873417721519
base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,reuse,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,110,221,0.497737556561086
