building_id,old_bucket,new_class,a_cand,veto_recovered,flag_A1,flag_B,flag_E,flag_F,flag_C_specular,frac_inc60,recon_median,roof_lowtex_v4,occlusion,area_m2,sat
DEBY_LOD2_104583794,3_coverage,F_소형,0,,0,0,0,1,0,0.302,152.354,0.594,0.556,6.39,0.0
DEBY_LOD2_107802038,3_coverage,경계_방법회복,1,raw_acmp,1,0,0,0,1,0.118,29.427,0.657,0.5,388.48,0.0767
DEBY_LOD2_107807336,3_coverage,A1_촬영확실,1,,1,1,1,0,0,0.098,9.891,0.788,0.75,100.63,0.0009
DEBY_LOD2_108247350,1_textureless,F_소형,0,raw_acmp,0,0,0,1,0,0.405,163.486,0.348,0.625,12.14,0.0
DEBY_LOD2_108247351,1_textureless,미분류,0,gs_seed_dense;gs_seed_acmp;raw_acmp,0,0,0,0,0,0.382,166.033,0.499,0.556,65.28,0.0007
DEBY_LOD2_42364607,4_impossible,미분류,0,,0,0,0,0,0,0.316,180.588,0.727,0.6,90.44,0.0
DEBY_LOD2_4906999,3_coverage,미분류,0,raw_acmp,0,0,0,0,0,0.501,55.117,0.687,0.333,221.16,0.0001
DEBY_LOD2_4907012,3_coverage,미분류,0,,0,0,0,0,0,0.337,40.428,0.625,0.0,51.11,0.0
DEBY_LOD2_4907013,3_coverage,A2_촬영경계,1,,0,0,0,0,0,0.314,36.771,0.599,0.0,116.32,0.0
DEBY_LOD2_4907014,3_coverage,미분류,0,,0,0,0,0,1,0.441,24.533,0.471,0.0,149.95,0.0306
DEBY_LOD2_4907015,3_coverage,미분류,0,,0,0,0,0,1,0.391,23.72,0.635,0.0,168.43,0.0203
DEBY_LOD2_4907016,3_coverage,B_무텍스처,0,,0,1,0,0,0,0.567,40.952,0.993,0.0,282.21,0.0
DEBY_LOD2_4907019,3_coverage,경계_방법회복,1,raw_acmp,0,0,0,0,0,0.314,73.669,0.701,0.0,206.42,0.0002
DEBY_LOD2_4907021,3_coverage,경계_방법회복,1,raw_acmp,0,1,0,0,0,0.292,100.285,0.762,0.0,249.03,0.0
DEBY_LOD2_4907022,3_coverage,A2_촬영경계,1,,0,0,0,0,0,0.271,99.446,0.321,0.0,240.91,0.0116
DEBY_LOD2_4907027,3_coverage,미분류,0,,0,0,0,0,0,0.33,48.279,0.55,0.0,264.34,0.0042
DEBY_LOD2_4907029,3_coverage,경계_방법회복,1,raw_acmp,1,0,0,0,0,0.295,12.188,0.624,0.0,425.7,0.0
DEBY_LOD2_4907030,3_coverage,A1_촬영확실,1,,1,0,0,0,0,0.278,27.998,0.281,0.0,177.42,0.0001
DEBY_LOD2_4907031,3_coverage,A1_촬영확실,1,,1,0,0,0,0,0.286,21.662,0.462,0.0,163.72,0.0026
DEBY_LOD2_4907032,3_coverage,A1_촬영확실,1,,1,0,0,0,1,0.313,6.679,0.205,0.0,375.52,0.0162
DEBY_LOD2_4907033,3_coverage,A1_촬영확실,1,,1,0,0,0,0,0.275,5.756,0.411,0.0,128.95,0.0001
DEBY_LOD2_4907034,3_coverage,미분류,0,,0,0,0,0,0,0.335,2.247,0.273,0.0,549.5,0.003
DEBY_LOD2_4907036,3_coverage,A1_촬영확실,1,,1,0,0,0,0,0.251,3.329,0.386,0.0,187.85,0.0087
DEBY_LOD2_4907167,4_impossible,미분류,0,,0,0,0,0,0,0.555,0.0,0.593,0.0,203.19,0.0073
DEBY_LOD2_4907174,3_coverage,미분류,0,,0,0,0,0,0,0.261,127.91,0.573,0.0,260.43,0.0
DEBY_LOD2_4907187,3_coverage,미분류,0,,0,0,0,0,0,0.43,83.27,0.527,0.25,119.91,0.0
DEBY_LOD2_4907199,4_impossible,미분류,0,raw_acmp,0,0,0,0,0,0.373,176.71,0.448,0.273,98.35,0.0003
DEBY_LOD2_4908044,3_coverage,A1_촬영확실,1,,1,0,1,0,0,0.137,9.893,0.609,0.857,46.3,0.0
DEBY_LOD2_4908045,3_coverage,A2_촬영경계,1,,0,0,1,0,0,0.164,31.861,0.639,0.8,55.84,0.0
DEBY_LOD2_4908049,3_coverage,B_무텍스처,0,,0,1,0,0,1,0.483,159.35,0.846,0.6,49.09,0.0318
DEBY_LOD2_4908051,3_coverage,A1_촬영확실,1,,1,1,1,0,0,0.165,24.93,0.772,1.0,141.53,0.0
DEBY_LOD2_4908052,3_coverage,A1_촬영확실,1,,1,0,0,0,1,0.011,11.348,0.518,0.5,143.56,0.0522
DEBY_LOD2_4908053,3_coverage,A1_촬영확실,1,,1,0,0,0,0,0.01,10.914,0.663,0.25,36.31,0.0128
DEBY_LOD2_4908054,4_impossible,경계_방법회복,1,raw_acmp,1,0,0,0,0,0.002,12.425,0.653,0.25,33.6,0.0113
DEBY_LOD2_4908157,3_coverage,E_폐색,0,raw_acmp,0,0,1,0,0,0.319,179.595,0.405,0.7,165.05,0.0
DEBY_LOD2_4908158,3_coverage,미분류,0,,0,0,0,0,0,0.366,63.006,0.473,0.0,182.59,0.0004
DEBY_LOD2_4908159,3_coverage,E_폐색,0,,0,0,1,0,1,0.128,165.269,0.515,0.667,37.63,0.0164
DEBY_LOD2_4908160,1_textureless,A2_촬영경계,1,,0,0,1,1,0,0.184,47.477,0.695,1.0,8.49,0.0004
DEBY_LOD2_4908161,3_coverage,경계_방법회복,1,raw_acmp,0,0,1,0,0,0.294,66.043,0.551,0.7,454.5,0.0
DEBY_LOD2_4908162,3_coverage,미분류,0,,0,0,0,0,0,0.254,121.511,0.695,0.364,104.74,0.0
DEBY_LOD2_4908164,3_coverage,미분류,0,,0,0,0,0,0,0.328,154.524,0.686,0.417,33.27,0.0011
DEBY_LOD2_4908165,4_impossible,E_폐색,0,,0,0,1,1,0,0.381,196.12,0.664,0.727,8.83,0.0
DEBY_LOD2_4908167,4_impossible,미분류,0,raw_acmp,0,0,0,0,0,0.395,219.761,0.337,0.625,33.59,0.0002
DEBY_LOD2_4908169,4_impossible,E_폐색,0,raw_acmp,0,0,1,1,0,0.382,212.508,0.729,0.857,16.93,0.0
DEBY_LOD2_4908170,3_coverage,미분류,0,,0,0,0,0,0,0.336,79.348,0.716,0.571,72.81,0.0
DEBY_LOD2_8568391,1_textureless,미분류,0,,0,0,0,0,0,0.383,176.043,0.748,0.625,55.53,0.0
DEBY_LOD2_8568392,1_textureless,E_폐색,0,,0,0,1,1,0,0.378,187.271,0.737,0.75,5.8,0.0
DEBY_LOD2_8573617,3_coverage,A1_촬영확실,1,,1,1,0,0,0,0.079,3.242,0.888,0.5,34.76,0.0001
