run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4908178,0,358564,358564,358564,2360,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4908178_run_1_classified.las
gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4908179,0,27489,27489,27489,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4908179_run_1_classified.las
gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_60098,0,277618,277618,277618,399,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_60098_run_1_classified.las
gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_8568391,0,186940,186940,186940,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_8568391_run_1_classified.las
gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_8568392,0,149111,149111,149111,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_8568392_run_1_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_108247349,0,16575,16575,16575,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_108247349_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_108247350,0,10247,10247,10247,53,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_108247350_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_108247351,0,14529,14529,14529,199,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_108247351_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907184,0,4160274,4160274,4160274,384052,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907184_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907185,0,1156189,1156189,1156189,4366,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907185_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907186,0,19571,19571,19571,397,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907186_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907188,0,1070,1070,1070,29,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907188_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907194,0,6725,6725,6725,113,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907194_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907195,0,15613,15613,15613,1157,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907195_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907198,0,775838,775838,775838,3207,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907198_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907199,0,56553,56553,56553,718,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907199_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4907202,0,651509,651509,651509,6974,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4907202_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4908168,0,815904,815904,815904,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4908168_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4908178,0,358564,358564,358564,2360,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4908178_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_4908179,0,27489,27489,27489,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_4908179_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_60098,0,277618,277618,277618,399,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_60098_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_8568391,0,186940,186940,186940,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_8568391_run_2_classified.las
gs_e5_C001_sparse_r2,run_2,DEBY_LOD2_8568392,0,149111,149111,149111,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_2/DEBY_LOD2_8568392_run_2_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_108247349,0,16575,16575,16575,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_108247349_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_108247350,0,10247,10247,10247,53,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_108247350_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_108247351,0,14529,14529,14529,199,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_108247351_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907184,0,4160274,4160274,4160274,384052,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907184_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907185,0,1156189,1156189,1156189,4366,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907185_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907186,0,19571,19571,19571,397,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907186_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907188,0,1070,1070,1070,29,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907188_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907194,0,6725,6725,6725,113,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907194_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907195,0,15613,15613,15613,1157,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907195_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907198,0,775838,775838,775838,3207,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907198_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907199,0,56553,56553,56553,718,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907199_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4907202,0,651509,651509,651509,6974,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4907202_run_3_classified.las
gs_e5_C001_sparse_r2,run_3,DEBY_LOD2_4908168,0,815904,815904,815904,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_3/DEBY_LOD2_4908168_run_3_classified.las
