run_name,arm,replicate,roofer_repeat,input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
gs_e5_C001_sparse_r1,sparse,r1,run_3,GS-sparse-r1,DEBY_LOD2_8568391,failure,val3dity_invalid,True,standard,False,multiple horizontal,14.068966,0.868778,12.204517,2,True,False,"[{""code"":405,""description"":""WRONG_ORIENTATION_SHELL"",""id"":""Geometry (Solid) #coid=DEBY_LOD2_8568391-0|geom=0"",""info"":""Shell #0""}]"
gs_e5_C001_sparse_r1,sparse,r1,run_3,GS-sparse-r1,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.916667,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937811,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_108247350,success,success,True,standard,False,slanted,21.000000,0.833333,0.350415,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,23.515152,0.873077,2.551575,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1121.727783,0.000000,0.608917,66,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=75"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=118"",""info"":""""}]"
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,83.881775,0.684783,4.377320,13,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,27.866667,0.910979,0.825543,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907188,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.086957,0.930723,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907194,failure,val3dity_invalid,True,standard,False,slanted,10.187500,0.924794,6.487740,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690781, 5.3361e+06, 573.375)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690782, 5.33608e+06, 573.375)""}]"
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,36.910568,0.826761,3.069189,6,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,48.379448,0.824061,2.865139,14,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907199,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,46.095238,0.839695,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4907202,success,success,True,standard,False,slanted,97.024559,0.555382,0.815628,2,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4908168,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.929825,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4908178,success,success,True,standard,False,multiple horizontal,64.143883,0.693833,3.349817,2,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_4908179,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.940928,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_60098,success,success,True,standard,False,slanted,22.049999,0.897959,0.702196,3,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.936652,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_1,GS-sparse-r2,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.916667,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.937811,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_108247350,success,success,True,standard,False,slanted,21.000000,0.833333,0.350415,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_108247351,success,success,True,standard,False,slanted,23.515152,0.873077,2.551575,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1121.727783,0.000000,0.608917,66,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=75"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face=118"",""info"":""""}]"
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,83.881775,0.684783,4.377320,13,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,27.866667,0.910979,0.825543,1,True,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907188,failure,pointcloud_unusable_no_points,True,skip,True,no points,6.086957,0.930723,,0,False,True,[]
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907194,failure,val3dity_invalid,True,standard,False,slanted,10.187500,0.924794,6.487740,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690781, 5.3361e+06, 573.375)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4907194-0|geom=0|shell=0|face="",""info"":""Location hole: (690782, 5.33608e+06, 573.375)""}]"
gs_e5_C001_sparse_r2,sparse,r2,run_2,GS-sparse-r2,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,36.910568,0.826761,3.069189,6,True,True,[]
