building_id,arm,run,iteration,observation_phase,scope,gaussians_total,seed_lineage_count,opacity_median,cum_prune_candidates,cum_pruned,cum_prune_seed_protected,seed_protect_active,source_path
DEBY_LOD2_42364659,Aprime,r1,0,initialization_pre_dynamics,all_seed_lineage,816.0,816.0,0.10000000149011612,,,,,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_initialization.json
DEBY_LOD2_42364659,Aprime,r1,0,post_dynamics,all_seed_lineage,816,816,0.009999998845160007,0,0,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,500,post_dynamics,all_seed_lineage,816,816,0.11359826475381851,0,0,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,1000,post_dynamics,all_seed_lineage,14095,14095,0.3755626082420349,1092,1092,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,1500,post_dynamics,all_seed_lineage,42544,42544,0.7070131301879883,4121,4121,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,2000,post_dynamics,all_seed_lineage,68157,68157,0.799389123916626,8171,8171,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,2500,post_dynamics,all_seed_lineage,89077,89077,0.8451186418533325,13869,13869,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,3000,post_dynamics,all_seed_lineage,105860,105860,0.009999998845160007,21390,21390,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,3500,post_dynamics,all_seed_lineage,105344,105344,0.053284093737602234,58409,58409,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364659,Aprime,r1,4000,post_dynamics,all_seed_lineage,113298,113298,0.047833070158958435,68317,68317,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/audit/seed_lineage.csv
