input,bucket_v1,full_199_count,both_attempted_179_count,coverage_controlled_93_count
ALS,success,166,166,87
ALS,coverage,1,1,1
ALS,roof_matching_assembly_failure,0,0,0
ALS,validity,12,12,5
ALS,reference_mismatch,0,0,0
ALS,aoi_edge_excluded,20,0,0
DIM,success,102,102,75
DIM,coverage,56,56,0
DIM,roof_matching_assembly_failure,8,8,8
DIM,validity,12,12,10
DIM,reference_mismatch,1,1,0
DIM,aoi_edge_excluded,20,0,0
