stratum,n,low_texture_pixel_ratio_cutoff,low_texture_pixel_ratio_median,sharp_gradient_p10_median,delta_plane_f1_median,delta_plane_f1_p25,delta_plane_f1_p75,dim_plane_f1_median,dim_internal_hausdorff_median_m
low_texture_high_lowgrad_share,35,0.6024,0.6711,0.00392,0.0000,-0.0062,0.1690,0.5714,1.8245
high_texture_low_lowgrad_share,35,0.6024,0.4770,0.00555,0.0000,0.0000,0.3443,0.5000,1.6153
