building_id,near_nadir_view_count,oblique_view_count,near_nadir_texture_samples,near_nadir_texture_gradient_mean,near_nadir_texture_gradient_p10,near_nadir_gray_std,near_nadir_brightness_median,near_nadir_shadow_ratio,oblique_texture_gradient_mean,dim_density_pts_m2,t7_classification,surface_cause_classification,surface_cause_recoverable,classification_note
DEBY_LOD2_42364609,9,281,9,0.02555,0.01210,0.14255,0.675,0.005,0.03540,3.892,관측부족,무텍스처,yes,near-nadir coverage is sufficient and median or p10 gradient/std texture is below the control-success threshold.
DEBY_LOD2_42364659,3,222,3,0.02375,0.02290,0.20518,0.765,0.032,0.02875,48.576,관측부족,나디르_커버리지부족,no,near-nadir views 3 below control p10 threshold 4.0.
DEBY_LOD2_42364663,15,381,15,0.04425,0.02639,0.15716,0.431,0.235,0.02495,4057.681,구조화부족,구조화부족,no,T9 rule: DIM class-6 density is already control-like for DEBY_LOD2_42364663.
DEBY_LOD2_4907182,33,258,28,0.02793,0.00701,0.16824,0.471,0.048,0.02860,2.558,관측부족,무텍스처,yes,near-nadir coverage is sufficient and median or p10 gradient/std texture is below the control-success threshold.
DEBY_LOD2_4907510,7,250,7,0.04993,0.04382,0.14979,0.365,0.089,0.02348,26.725,증거부족,무텍스처,yes,"near-nadir coverage is sufficient; no shadow/coverage trigger, so remaining DIM surface deficit is recorded as texture-limited observation."
DEBY_LOD2_4908050,4,266,4,0.02705,0.02360,0.13425,0.424,0.030,0.02720,0.585,관측부족,무텍스처,yes,"near-nadir coverage is sufficient; no shadow/coverage trigger, so remaining DIM surface deficit is recorded as texture-limited observation."
DEBY_LOD2_4908166,4,277,4,0.02469,0.01490,0.13807,0.471,0.047,0.02430,2.063,관측부족,무텍스처,yes,near-nadir coverage is sufficient and median or p10 gradient/std texture is below the control-success threshold.
DEBY_LOD2_4908176,9,303,9,0.03656,0.03315,0.22904,0.349,0.183,0.02851,8.310,관측부족,무텍스처,yes,"near-nadir coverage is sufficient; no shadow/coverage trigger, so remaining DIM surface deficit is recorded as texture-limited observation."
