building_id,invalid_in,paired_category,in_quality_71,als_validity,als_error_codes,als_categories,als_error_instances,dim_validity,dim_error_codes,dim_categories,dim_error_instances
DEBY_LOD2_108580335,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
DEBY_LOD2_4906965,ALS_only_invalid,DIM_only,no,INVALID,303×6 NON_MANIFOLD_CASE,비다양체 (non-manifold),6,valid,,,0
DEBY_LOD2_4906967,both_invalid,both_fail,no,INVALID,104×1 RING_SELF_INTERSECTION,자기교차 (self-intersection),1,INVALID,303×3 NON_MANIFOLD_CASE,비다양체 (non-manifold),3
DEBY_LOD2_4906975,both_invalid,both_fail,no,INVALID,306×7 SHELL_SELF_INTERSECTION,자기교차 (self-intersection),7,INVALID,303×3 NON_MANIFOLD_CASE,비다양체 (non-manifold),3
DEBY_LOD2_4906985,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
DEBY_LOD2_4907025,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,303×3 NON_MANIFOLD_CASE,비다양체 (non-manifold),3
DEBY_LOD2_4907184,ALS_only_invalid,DIM_only,no,INVALID,302×1 SHELL_NOT_CLOSED,비폐합 (non-watertight),1,valid,,,0
DEBY_LOD2_4907520,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
DEBY_LOD2_4907521,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
DEBY_LOD2_4908354,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,302×1 SHELL_NOT_CLOSED,비폐합 (non-watertight),1
DEBY_LOD2_4959326,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
DEBY_LOD2_4959753,ALS_only_invalid,DIM_only,no,INVALID,302×2 SHELL_NOT_CLOSED,비폐합 (non-watertight),2,valid,,,0
DEBY_LOD2_60042,DIM_only_invalid,ALS_only,no,valid,,,0,INVALID,102×2 CONSECUTIVE_POINTS_SAME,중복·퇴화 면 (degenerate/duplicate),2
