basename,camera_id,image_in_zip,input_capture_present,calibrated_pose_present,status,exclusion_reason
DJI_20241217084507_0077_D.JPG,1189331088636443244,true,true,true,INCLUDED,
DJI_20241217084509_0078_D.JPG,11220566996718941859,true,true,true,INCLUDED,
DJI_20241217084511_0079_D.JPG,11812916197439485401,true,true,true,INCLUDED,
DJI_20241217084513_0080_D.JPG,4585126677984516712,true,true,true,INCLUDED,
DJI_20241217084515_0081_D.JPG,5876039612788403488,true,true,true,INCLUDED,
DJI_20241217084517_0082_D.JPG,17228139605425266012,true,true,true,INCLUDED,
DJI_20241217084519_0083_D.JPG,100717642113679986,true,true,true,INCLUDED,
DJI_20241217084521_0084_D.JPG,14495969681228392079,true,true,true,INCLUDED,
DJI_20241217084523_0085_D.JPG,18131296624719800111,true,true,true,INCLUDED,
DJI_20241217084525_0086_D.JPG,9567306295432419359,true,true,true,INCLUDED,
DJI_20241217084527_0087_D.JPG,11169066971338329956,true,true,true,INCLUDED,
DJI_20241217084529_0088_D.JPG,227337127074156227,true,true,true,INCLUDED,
DJI_20241217084531_0089_D.JPG,14470563325052025730,true,true,true,INCLUDED,
DJI_20241217084533_0090_D.JPG,12044420803385478764,true,true,true,INCLUDED,
DJI_20241217084535_0091_D.JPG,8571213567602705812,true,true,true,INCLUDED,
DJI_20241217084537_0092_D.JPG,16302269869737621895,true,true,true,INCLUDED,
DJI_20241217084539_0093_D.JPG,1316076247417195241,true,true,true,INCLUDED,
DJI_20241217084541_0094_D.JPG,622884890221032770,true,true,true,INCLUDED,
DJI_20241217084543_0095_D.JPG,4792995501408690118,true,true,true,INCLUDED,
DJI_20241217084545_0096_D.JPG,7346827562465840828,true,true,true,INCLUDED,
DJI_20241217084547_0097_D.JPG,11636746687410202860,true,true,true,INCLUDED,
DJI_20241217084549_0098_D.JPG,8047646040905357033,true,true,true,INCLUDED,
DJI_20241217084551_0099_D.JPG,29443536668497814,true,true,true,INCLUDED,
DJI_20241217084553_0100_D.JPG,2890301655680591206,true,true,true,INCLUDED,
DJI_20241217084555_0101_D.JPG,4315480817392762369,true,true,true,INCLUDED,
DJI_20241217084557_0102_D.JPG,8164864270243137252,true,true,true,INCLUDED,
DJI_20241217084559_0103_D.JPG,17698801639588828428,true,true,true,INCLUDED,
DJI_20241217084601_0104_D.JPG,9295550174051195518,true,true,true,INCLUDED,
DJI_20241217084603_0105_D.JPG,1033592791057304723,true,true,true,INCLUDED,
DJI_20241217084605_0106_D.JPG,343665730609389172,true,true,true,INCLUDED,
DJI_20241217084607_0107_D.JPG,13687914904552927055,true,true,true,INCLUDED,
DJI_20241217084609_0108_D.JPG,17890792484687901174,true,true,true,INCLUDED,
DJI_20241217084611_0109_D.JPG,923175506887097912,true,true,true,INCLUDED,
DJI_20241217084613_0110_D.JPG,13514853088627146163,true,true,true,INCLUDED,
DJI_20241217084615_0111_D.JPG,3255217628675362622,true,true,true,INCLUDED,
DJI_20241217084617_0112_D.JPG,16020663301169148046,true,true,true,INCLUDED,
DJI_20241217084619_0113_D.JPG,3991913090415804516,true,true,true,INCLUDED,
DJI_20241217084621_0114_D.JPG,7076330444211342624,true,true,true,INCLUDED,
DJI_20241217084623_0115_D.JPG,12838841580424771029,true,true,true,INCLUDED,
DJI_20241217084625_0116_D.JPG,7302221807927156173,true,true,true,INCLUDED,
DJI_20241217084627_0117_D.JPG,11436299950452116532,true,true,true,INCLUDED,
DJI_20241217084629_0118_D.JPG,2683698470163035232,true,true,true,INCLUDED,
DJI_20241217084631_0119_D.JPG,5761146893717236758,true,true,true,INCLUDED,
DJI_20241217084633_0120_D.JPG,6238590062303106012,true,true,true,INCLUDED,
DJI_20241217084635_0121_D.JPG,5937221136621035095,true,true,true,INCLUDED,
DJI_20241217084637_0122_D.JPG,6612418088023984742,true,true,true,INCLUDED,
DJI_20241217084639_0123_D.JPG,11053912569030591,true,true,true,INCLUDED,
DJI_20241217084641_0124_D.JPG,15067565556274907466,true,true,true,INCLUDED,
DJI_20241217084643_0125_D.JPG,12766966485942170494,true,true,true,INCLUDED,
DJI_20241217084645_0126_D.JPG,8446183178422447307,true,true,true,INCLUDED,
DJI_20241217084647_0127_D.JPG,12725323248198494247,true,true,true,INCLUDED,
DJI_20241217084649_0128_D.JPG,11297455255279089056,true,true,true,INCLUDED,
DJI_20241217084651_0129_D.JPG,14584602769731106293,true,true,true,INCLUDED,
DJI_20241217084653_0130_D.JPG,1125824361356260681,true,true,true,INCLUDED,
DJI_20241217084655_0131_D.JPG,17279621419995825153,true,true,true,INCLUDED,
DJI_20241217084657_0132_D.JPG,7502282805764027139,true,true,true,INCLUDED,
DJI_20241217084659_0133_D.JPG,521870964689934887,true,true,true,INCLUDED,
DJI_20241217084701_0134_D.JPG,8401008853509491872,true,true,true,INCLUDED,
DJI_20241217084703_0135_D.JPG,17017922704169859016,true,true,true,INCLUDED,
DJI_20241217084705_0136_D.JPG,15352707287889187822,true,true,true,INCLUDED,
DJI_20241217084707_0137_D.JPG,9934032238376569801,true,true,true,INCLUDED,
DJI_20241217084709_0138_D.JPG,14739887348828391278,true,true,true,INCLUDED,
DJI_20241217084711_0139_D.JPG,12513631327694238303,true,true,true,INCLUDED,
DJI_20241217084713_0140_D.JPG,17823242298114892713,true,true,true,INCLUDED,
DJI_20241217084715_0141_D.JPG,8560210730772640438,true,true,true,INCLUDED,
DJI_20241217084717_0142_D.JPG,9779764634274598160,true,true,true,INCLUDED,
DJI_20241217084719_0143_D.JPG,2566567084082956747,true,true,true,INCLUDED,
DJI_20241217084721_0144_D.JPG,5853322698075113743,true,true,true,INCLUDED,
DJI_20241217084723_0145_D.JPG,8099783105287160215,true,true,true,INCLUDED,
DJI_20241217084725_0146_D.JPG,7041022324655095656,true,true,true,INCLUDED,
