bid,source,branch,base_status,branch_status,base_roof_cov,branch_roof_cov,delta_roof_cov,base_wall_cov,branch_wall_cov,delta_wall_cov,base_ground_cov,branch_ground_cov,delta_ground_cov,base_support_coverage,branch_support_coverage,delta_support_coverage,base_roof_support_cov,branch_roof_support_cov,delta_roof_support_cov,base_wall_support_cov,branch_wall_support_cov,delta_wall_support_cov,base_ground_support_cov,branch_ground_support_cov,delta_ground_support_cov,base_F,branch_F,delta_F,base_h_err,branch_h_err,delta_h_err,base_vol_ratio,branch_vol_ratio,delta_vol_ratio,base_chamfer,branch_chamfer,delta_chamfer,base_open_edges,branch_open_edges,delta_open_edges,base_nonmanifold_edges,branch_nonmanifold_edges,delta_nonmanifold_edges
B0,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.7083333333333334,0.7083333333333334,0.0,0.9666666666666667,0.967,0.0003333333333332966,1.0,0.9983333333333333,-0.0016666666666667052,0.5643333333333334,0.564,-0.00033333333333340764,0.749,0.75,0.0010000000000000009,0.675,0.694,0.018999999999999906,0.251,0.276,0.025000000000000022,0.9431012572505374,0.9217109464425568,-0.021390310807980595,0.46317344274640604,0.5779858336181647,0.11481239087175865,1.1037195319762478,1.111404107140757,0.007684575164509155,0.24164808654486314,0.25156465779751247,0.009916571252649331,0.0,0.0,0.0,0.0,0.0,0.0
B1,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.876,0.876,0.0,0.8636666666666667,0.9383333333333334,0.07466666666666666,0.0,1.0,1.0,0.4983333333333333,0.5153333333333333,0.017000000000000015,0.981,0.984,0.0030000000000000027,0.536,0.542,0.006000000000000005,0.004,0.074,0.06999999999999999,0.8391250330425588,0.9737391527599487,0.1346141197173899,1.6901273512442305,0.0797591897401162,-1.6103681615041143,0.791373106324835,0.8987647299937322,0.10739162366889721,0.39348311830437976,0.22261285758257113,-0.17087026072180864,0.0,0.0,0.0,0.0,0.0,0.0
B2,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,1.0,1.0,0.0,0.987,0.9873333333333333,0.0003333333333332966,1.0,0.9743333333333334,-0.025666666666666615,0.5056666666666667,0.505,-0.0006666666666667043,1.0,1.0,0.0,0.428,0.4,-0.02799999999999997,0.136,0.115,-0.021000000000000005,0.9964135931532435,0.9517418140430748,-0.04467177911016873,0.5234961877382975,0.6775977694888446,0.1541015817505471,2.071946822557437,2.0950664124360663,0.023119589878629387,0.19720129823536003,0.21338192691103436,0.016180628675674325,0.0,0.0,0.0,0.0,0.0,0.0
B8,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.9816666666666667,0.9816666666666667,0.0,0.9816666666666667,0.979,-0.002666666666666706,1.0,0.9243333333333333,-0.07566666666666666,0.496,0.496,0.0,1.0,1.0,0.0,0.404,0.429,0.024999999999999967,0.068,0.065,-0.0030000000000000027,0.9959158229436867,0.9393632842528532,-0.05655253869083354,0.2493086345062192,0.47878843420743955,0.22947979970122034,1.589819017680507,1.6159736826603286,0.026154664979821662,0.19343811126845106,0.21497440024081757,0.021536288972366507,0.0,0.0,0.0,0.0,0.0,0.0
B6,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.6693333333333333,0.6693333333333333,0.0,0.9326666666666666,0.9363333333333334,0.003666666666666707,1.0,1.0,0.0,0.4626666666666666,0.4656666666666667,0.003000000000000058,0.898,0.903,0.0050000000000000044,0.421,0.397,-0.023999999999999966,0.071,0.081,0.010000000000000009,0.947825830842272,0.9492420331840927,0.001416202341820716,3.627471515617838,3.29799131322455,-0.3294802023932881,0.6782715244356421,0.6924620791751064,0.01419055473946429,0.23813073131969748,0.22620863672485758,-0.011922094594839894,0.0,0.0,0.0,0.0,0.0,0.0
B3,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.14966666666666667,0.14966666666666667,0.0,0.609,0.624,0.015000000000000013,0.7763333333333333,0.8986666666666666,0.1223333333333333,0.25266666666666665,0.251,-0.0016666666666666496,0.321,0.304,-0.017000000000000015,0.407,0.42,0.013000000000000012,0.065,0.079,0.013999999999999999,0.40331385102574696,0.4452465557010162,0.04193270467526922,2.4719599680153728,1.9689669906957796,-0.5029929773195931,0.9650653233730663,0.9962498405321565,0.031184517159090208,1.0849839789180125,1.046706369150053,-0.03827760976795935,0.0,0.0,0.0,0.0,0.0,0.0
B123,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.167,0.167,0.0,0.647,0.6413333333333333,-0.005666666666666709,0.9766666666666667,0.8173333333333334,-0.15933333333333333,0.342,0.3413333333333333,-0.0006666666666667043,0.302,0.309,0.007000000000000006,0.652,0.626,-0.026000000000000023,0.102,0.113,0.01100000000000001,0.5965428132420729,0.5342800998128509,-0.06226271342922207,0.29203150714080905,0.11155123865137284,-0.1804802684894362,0.992215560786045,1.0269453466371659,0.034729785851120853,0.8348434343385214,0.8760983161021221,0.041254881763600704,0.0,0.0,0.0,0.0,0.0,0.0
B126,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.14133333333333334,0.14133333333333334,0.0,0.6223333333333333,0.62,-0.0023333333333332984,0.99,0.4633333333333333,-0.5266666666666666,0.23500000000000001,0.23233333333333336,-0.0026666666666666505,0.2,0.222,0.021999999999999992,0.449,0.459,0.010000000000000009,0.045,0.043,-0.0020000000000000018,0.5614468652734549,0.4473082650781831,-0.11413860019527178,1.233671258914974,0.9689807969244555,-0.2646904619905186,0.2767196310685855,0.2948336607882725,0.018114029719687008,1.0299905522465689,1.0683515015178313,0.038360949271262434,0.0,0.0,0.0,0.0,0.0,0.0
B50,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,0.5476666666666666,0.5476666666666666,0.0,0.945,0.9486666666666667,0.003666666666666707,1.0,1.0,0.0,0.4403333333333334,0.4386666666666667,-0.0016666666666667052,0.921,0.917,-0.0040000000000000036,0.319,0.33,0.01100000000000001,0.047,0.048,0.0010000000000000009,0.9331509198071085,0.9326522516082917,-0.0004986681988168318,0.13542257921591627,0.022753919510552834,-0.11266865970536344,1.0095923918666236,1.016324975828603,0.006732583961979399,0.23308632957319247,0.24097383029107322,0.007887500717880747,0.0,0.0,0.0,0.0,0.0,0.0
B104,E1_Baseline_rendered,Stage3Algo-v1c-ground,OK,OK,1.0,1.0,0.0,0.9996666666666667,1.0,0.0003333333333332966,1.0,1.0,0.0,0.7943333333333333,0.7706666666666667,-0.023666666666666614,1.0,1.0,0.0,0.775,0.741,-0.03400000000000003,0.545,0.538,-0.007000000000000006,1.0,1.0,0.0,0.2308115401708064,0.020413688194251822,-0.21039785197655458,0.8649605297263258,0.924384449256817,0.0594239195304912,0.13417468555339113,0.0978333242827394,-0.036341361270651726,0.0,0.0,0.0,0.0,0.0,0.0
