bid,source,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,n_faces
B0,E0_GT_clean_upper_bound,True,0,0,12,12,CLOSED,23
B0,E2_Mutual_rendered,True,0,0,12,12,CLOSED,23
B0,E3_Baseline_primitive,True,0,0,12,12,CLOSED,23
B0,E4_Mutual_primitive,True,0,0,12,12,CLOSED,23
B1,E0_GT_clean_upper_bound,True,0,0,6,6,CLOSED,11
B1,E2_Mutual_rendered,True,0,0,6,6,CLOSED,11
B1,E3_Baseline_primitive,True,0,0,6,6,CLOSED,11
B1,E4_Mutual_primitive,True,0,0,6,6,CLOSED,11
B2,E0_GT_clean_upper_bound,True,0,0,6,6,CLOSED,11
B2,E2_Mutual_rendered,True,0,0,6,6,CLOSED,11
B2,E3_Baseline_primitive,True,0,0,6,6,CLOSED,11
B2,E4_Mutual_primitive,True,0,0,6,6,CLOSED,11
B8,E0_GT_clean_upper_bound,True,0,0,8,8,CLOSED,15
B8,E2_Mutual_rendered,True,0,0,8,8,CLOSED,15
B8,E3_Baseline_primitive,True,0,0,8,8,CLOSED,15
B8,E4_Mutual_primitive,True,0,0,8,8,CLOSED,15
B6,E0_GT_clean_upper_bound,True,0,0,12,12,CLOSED,23
B6,E2_Mutual_rendered,True,0,0,12,12,CLOSED,23
B6,E3_Baseline_primitive,True,0,0,12,12,CLOSED,23
B6,E4_Mutual_primitive,True,0,0,12,12,CLOSED,23
B3,E0_GT_clean_upper_bound,True,0,0,42,42,CLOSED,83
B3,E2_Mutual_rendered,True,0,0,42,42,CLOSED,83
B3,E3_Baseline_primitive,True,0,0,42,42,CLOSED,83
B3,E4_Mutual_primitive,True,0,0,42,42,CLOSED,83
B123,E0_GT_clean_upper_bound,True,0,0,28,28,CLOSED,55
B123,E2_Mutual_rendered,True,0,0,28,28,CLOSED,55
B123,E3_Baseline_primitive,True,0,0,28,28,CLOSED,55
B123,E4_Mutual_primitive,True,0,0,28,28,CLOSED,55
B126,E0_GT_clean_upper_bound,True,0,0,25,25,CLOSED,49
B126,E2_Mutual_rendered,True,0,0,25,25,CLOSED,49
B126,E3_Baseline_primitive,True,0,0,25,25,CLOSED,49
B126,E4_Mutual_primitive,True,0,0,25,25,CLOSED,49
B50,E0_GT_clean_upper_bound,True,0,0,10,10,CLOSED,19
B50,E2_Mutual_rendered,True,0,0,10,10,CLOSED,19
B50,E4_Mutual_primitive,True,0,0,10,10,CLOSED,19
B104,E0_GT_clean_upper_bound,True,0,0,4,4,CLOSED,7
B104,E2_Mutual_rendered,True,0,0,4,4,CLOSED,7
B104,E3_Baseline_primitive,True,0,0,4,4,CLOSED,7
