condition_id,role,wave,setting,arm,run,lineage,cityjson_path,cityjson_sha256,payload_group_size,payload_canonical,scope,n_population,n_rows,coverage_fraction,complete_population,measurable_count,val3dity_valid_count,val3dity_valid_rate_population,lod2_count,lod2_rate_population,lod1_fallback_count,median_face_count_ratio,median_roof_rms_m,p90_roof_rms_m,condition_selection_scope,learning_runs_started
als_w2_1,als_upper,w2_1,canonical,als,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,1,True,all_c001,18,18,1.0,True,15,14,0.7777777777777778,15,0.8333333333333334,0,1.25,0.251183004,2.1114699885999992,one_fixed_model_condition_no_per_building_switching,0
als_w2_1,als_upper,w2_1,canonical,als,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,1,True,dense_success,10,10,1.0,True,10,9,0.9,10,1.0,0,1.875,0.33737314549999997,2.8366146858,one_fixed_model_condition_no_per_building_switching,0
canonical_dense_run_2,dense_sensitivity,run_2,canonical,dim,run_2,comparison_baseline,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,1,True,all_c001,18,18,1.0,True,1,1,0.05555555555555555,1,0.05555555555555555,0,0.0,0.354728258,0.354728258,one_fixed_model_condition_no_per_building_switching,0
canonical_dense_run_2,dense_sensitivity,run_2,canonical,dim,run_2,comparison_baseline,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,1,True,dense_success,10,10,1.0,True,1,1,0.1,1,0.1,0,0.0,0.354728258,0.354728258,one_fixed_model_condition_no_per_building_switching,0
canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,1,True,all_c001,18,18,1.0,True,10,15,0.8333333333333334,10,0.5555555555555556,0,0.375,0.9895546639999999,3.0471589789999998,one_fixed_model_condition_no_per_building_switching,0
canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,1,True,dense_success,10,10,1.0,True,10,10,1.0,10,1.0,0,1.25,0.9895546639999999,3.0471589789999998,one_fixed_model_condition_no_per_building_switching,0
e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,gs,e5p_3b_s1_20260708_C001,base,acmp,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,2e98c43d2f1c78bcc439a60c45c5eddf9e5879faa92e61cbbf41d4579469233b,1,True,all_c001,18,18,1.0,True,14,6,0.3333333333333333,14,0.7777777777777778,0,0.875,3.3000427665,10.6681906548,one_fixed_model_condition_no_per_building_switching,0
e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,gs,e5p_3b_s1_20260708_C001,base,acmp,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,2e98c43d2f1c78bcc439a60c45c5eddf9e5879faa92e61cbbf41d4579469233b,1,True,dense_success,10,10,1.0,True,10,0,0.0,10,1.0,0,1.0,2.510494929,4.857862212199998,one_fixed_model_condition_no_per_building_switching,0
e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_dense_r1:run_1,gs,e5p_3b_s1_20260708_C001,base,dense,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,38570c8cc8af712f7d71f02eaef5b8a55fefedb40dc218bd6e0ea44059c05430,2,True,all_c001,18,18,1.0,True,11,17,0.9444444444444444,11,0.6111111111111112,0,0.5,1.717910758,10.311667566,one_fixed_model_condition_no_per_building_switching,0
e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_dense_r1:run_1,gs,e5p_3b_s1_20260708_C001,base,dense,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,38570c8cc8af712f7d71f02eaef5b8a55fefedb40dc218bd6e0ea44059c05430,2,True,dense_success,10,10,1.0,True,10,9,0.9,10,1.0,0,0.5,1.6303452159999998,7.513160722899998,one_fixed_model_condition_no_per_building_switching,0
