bid,bid_int,source,class_id,class_name,point_count,semantic_entropy_mean,semantic_confidence_mean,normal_consistency_mean,weight_mean,y_mean,y_median,y_p10,y_p90,z_mean,z_median,distance_to_gt_reference_ground_plane_mean,distance_to_predicted_GroundSurface_mean,distance_to_predicted_RoofSurface_mean,distance_to_predicted_same_surface_mean,semantic_confidence_vs_geometric_error_corr,normal_confidence_vs_geometric_error_corr,focus_case
B0,0,E1_Baseline_rendered,1,roof,1866,0.04199681565581009,0.9807838309807793,0.9478866383197083,0.985054276636048,-16.289538131521702,-16.401256561279297,-16.654980659484863,-16.14351177215576,-71.5269601562271,-71.75696182250977,15.717538131521701,16.044112323610424,0.4466560556433126,0.4466560556433126,-0.17740526467613907,-0.19371123941831156,True
B0,0,E1_Baseline_rendered,2,wall,2748,0.041514104030618164,0.9648822502787544,0.7492393989358036,0.9705613190159094,-8.877525010548824,-9.181731224060059,-14.692442989349365,-2.5017941236495935,-69.3900999183044,-68.43281936645508,8.305910660099427,8.63964330284528,6.2444646948755365,0.3653264326193991,-0.19054699081694565,0.10083028605717248,True
B0,0,E1_Baseline_rendered,3,ground,321,0.07985323002762118,0.45148852472179035,0.9732627296743561,0.45148852472179035,-0.25904326958761686,-0.1354408860206604,-0.3781408965587616,-0.020067032426595688,-70.31609922034718,-69.8954086303711,0.4880981311893026,0.5527691177993417,14.074483345216217,0.5527691177993417,0.029967280108423516,-0.16987360495815737,True
B0,0,E2_Mutual_rendered,1,roof,1873,0.023621560240085028,0.9871761247523634,0.9450398329371119,0.9919508924251308,-16.279389656360177,-16.39807891845703,-16.6634822845459,-16.129835510253905,-71.58146387233622,-71.78834533691406,15.707389656360176,16.065954179690184,0.37163168567506916,0.37163168567506916,-0.3291978012638594,-0.34868883518687965,True
B0,0,E2_Mutual_rendered,2,wall,2734,0.019411235849039785,0.9725580832974791,0.7462247232096,0.9816691713365395,-8.847468785511026,-9.140748500823975,-14.69282341003418,-2.436315298080443,-69.36874921529417,-68.37564086914062,8.275999123393571,8.640968130805126,6.406777373067584,0.36479023271635463,-0.08539437513797446,0.09331929545559872,True
B0,0,E2_Mutual_rendered,3,ground,315,0.08126463028602302,0.43624914534508236,0.9685043201323004,0.4381877667374081,-0.21522058351408868,-0.1409667432308197,-0.4048063993453979,-0.05271606445312499,-70.26285390702505,-69.78638458251953,0.4289325345104649,0.4995033250059437,14.337058005474114,0.4995033250059437,0.2328649786689643,-0.04463923302703502,True
B1,1,E1_Baseline_rendered,1,roof,3562,0.029362499335797113,0.9868542893357253,0.9761925944090043,1.0066204497246578,-17.16022844973205,-17.182252883911133,-17.37278652191162,-16.970367431640625,-35.44825502970726,-35.47200584411621,16.57222844973205,14.870255464839577,0.41571674201667863,0.41571674201667863,-0.2022670506916281,-0.4756030718179318,True
B1,1,E1_Baseline_rendered,2,wall,1228,0.0622495491699522,0.9093988976511097,0.6736250109068557,0.9154868752480233,-10.156866517488265,-10.71039342880249,-16.39592037200928,-2.9732609748840337,-34.276639826522974,-37.0869197845459,9.568976652893648,7.985489266897373,6.687283392499522,0.4486390667294535,-0.6064379996591894,-0.02304167753605122,True
B1,1,E1_Baseline_rendered,3,ground,87,0.25943905384889965,0.26114185103054705,0.9250964403820116,0.26114185103054705,-1.641095611293554,-0.43113821744918823,-6.431774711608887,-0.0644882500171661,-33.16204849330858,-30.225786209106445,1.5091596927360642,2.631646135922201,15.223177993800075,2.631646135922201,0.557908886319223,0.12285819302172273,True
B1,1,E2_Mutual_rendered,1,roof,3547,0.018007099173277544,0.9899276817117169,0.9747968397102047,1.0059066682356594,-17.157346766062915,-17.18108558654785,-17.368693161010743,-16.971229553222656,-35.46873985077584,-35.545654296875,16.56934676606292,16.118448897102663,0.4786329566112215,0.4786329566112215,-0.19216043199578137,-0.4015535381798337,True
B1,1,E2_Mutual_rendered,2,wall,1232,0.047511755622617904,0.9120701023183957,0.6835794367901402,0.9193638296156832,-10.392275451936506,-11.076550483703613,-16.588197708129883,-3.222070527076721,-34.25159306804855,-37.05695343017578,9.804285322795442,9.366112378712948,6.325840392946575,0.43132623014301513,-0.12311561570323538,0.04209395382549856,True
B1,1,E2_Mutual_rendered,3,ground,80,0.26865041749551893,0.27292579747736456,0.9471754592058801,0.28119987975806,-0.9943527082999936,-0.5202065706253052,-1.7193904280662538,-0.0808547027409075,-33.36403687000275,-34.75897979736328,0.8392922212520848,1.1178483595818536,15.518357869129954,1.1178483595818536,0.23503407298577444,0.10624413355482036,True
B2,2,E1_Baseline_rendered,1,roof,2613,0.03472712964627773,0.9844838611544935,0.9864528437085666,0.9996890922615549,-14.148568426746087,-14.146615028381348,-14.347517204284667,-13.972706604003907,2.004884713019825,2.010236978530884,13.556568426746084,13.875664643806935,0.2539109415578985,0.2539109415578985,-0.24881618693379692,-0.41371437810411027,True
B2,2,E1_Baseline_rendered,2,wall,1062,0.04060491383037251,0.8797235055607366,0.7069569982709976,0.8802518361930344,-8.106232401958742,-8.378861904144287,-12.891759204864503,-2.790022945404053,1.2029954595754375,-2.3640021085739136,7.51445892204448,7.840852194757076,6.102544001936668,0.3765878964444361,0.03916689409814073,0.12052331759437063,True
B2,2,E1_Baseline_rendered,3,ground,78,0.10154581242479765,0.4362873461766121,0.9517207569081604,0.4362873461766121,-0.27737653479935265,-0.11768289282917976,-0.5468323528766632,0.025213623046874988,-1.8881265628032196,-3.3945119380950928,0.5059744506420997,0.6285819115418775,14.04183716056526,0.6285819115418775,-0.10259174499778961,-0.07619854007437334,True
B2,2,E2_Mutual_rendered,1,roof,2612,0.01906425409769832,0.990680761464157,0.986214894127586,1.0059511573446107,-14.146628670816582,-14.146361351013184,-14.332613849639893,-13.971448516845703,2.007679055306731,2.0051932334899902,13.55462867081658,13.930151018260474,0.2435233825798219,0.2435233825798219,-0.2178956080353496,-0.3655618279297031,True
B2,2,E2_Mutual_rendered,2,wall,1051,0.027249618254305143,0.87096848216202,0.812809518645926,0.8718501942198579,-8.237410339596837,-8.625702857971191,-12.92707347869873,-2.940976858139038,1.008322440591117,-2.4327197074890137,7.645962631442453,8.029896041687213,5.923547757810813,0.38306283032758554,0.06137765347007522,0.10135112211897329,True
B2,2,E2_Mutual_rendered,3,ground,85,0.0911903078065199,0.3997575430309071,0.9562058339290863,0.40784917158239026,-0.25040881491320977,-0.14835067093372345,-0.46098002195358273,0.020204162597656256,0.1342844794778263,-2.9411144256591797,0.47676003868947997,0.5826019763995366,13.865922042848554,0.5826019763995366,-0.1162723042953806,-0.14157881071685824,True
B8,8,E1_Baseline_rendered,1,roof,2783,0.0372349787647719,0.9824252516684496,0.984069391507663,1.0013614224950658,-14.51585663560051,-14.563102722167969,-14.795747184753418,-14.05349292755127,12.254015258778097,12.342413902282715,13.916856635600508,14.16685408624218,0.3006741459028369,0.3006741459028369,-0.06778544128588761,-0.02879010566212284,False
B8,8,E1_Baseline_rendered,2,wall,1391,0.03716599807069782,0.8959469649322079,0.8769391409563794,0.9016261450212522,-8.95921948524279,-9.386734962463379,-13.60411548614502,-3.621002197265625,9.822411577278208,7.320572376251221,8.360271497891327,8.616957922198056,5.52123166124846,0.3736515759648244,-0.1196453976199163,-0.1574571086418779,False
