family,run_name,arm,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50,opacity_p05,opacity_p95
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,416,567.2724,2.1338,0.1916,0.0565,0.8839
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908178,103,564.5238,0.2589,0.3276,0.0777,0.8963
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908168,4,567.3927,0.0489,0.2015,0.1733,0.4184
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907184,7596,581.4198,3.1148,0.5529,0.0650,0.9828
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,26,572.3700,4.1567,0.8361,0.3706,0.9294
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908178,7,564.5214,0.0968,0.8748,0.7564,0.9581
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908168,0,,,,,
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907184,6812,581.6785,2.3768,0.6911,0.1157,0.9627
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907202,18,575.9931,2.0725,0.1000,0.0784,0.1000
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908178,0,,,,,
