stage,w_distort,linear_equiv_note,run_name,return_code,elapsed_min,final_ckpt_exists,gate_return_ok,gate_finite_ok,gate_share_le_040,preview_gate_ok,audit_rows,max_total_loss,last_total_loss,all_total_loss_finite,distort_weighted_loss_share_max,distort_grad_norm_share_max,distort_weighted_loss_share_last,distort_grad_norm_share_last,audit_csv,log,selected_w_distort,selection_reason
B-0-preview,240,"w=240≈50, w=480≈100 under locked interpretation",gs_e5_C001_s1fac_preview_w240_p050_dense_r1,0,5.3,true,true,true,true,true,180,65.0856,46.2267,true,0.3402,0.3867,0.0318,0.1683,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_preview_w240_p050_dense_r1/audit/loss_grad_norms.csv,results/tum_transfer/e5_s1_full_factor/C001/train_logs/gs_e5_C001_s1fac_preview_w240_p050_dense_r1.log,240,480 preview failed or exceeded share gate; 240 preview accepted
B-0-preview,480,"w=240≈50, w=480≈100 under locked interpretation",gs_e5_C001_s1fac_preview_w480_p050_dense_r1,0,5.3,true,true,true,false,false,180,66.2529,43.2976,true,0.3051,0.6368,0.0171,0.6368,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_preview_w480_p050_dense_r1/audit/loss_grad_norms.csv,results/tum_transfer/e5_s1_full_factor/C001/train_logs/gs_e5_C001_s1fac_preview_w480_p050_dense_r1.log,240,480 preview failed or exceeded share gate; 240 preview accepted
