input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
raw-ACMP,DEBY_LOD2_4907521,failure,val3dity_invalid,True,standard,False,slanted,170.583954,0.003298,2.263098,8,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907521-0|geom=0|shell=0|face=8"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_4907521-0|geom=0|shell=0|face=11"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_4908023,success,success,True,standard,False,horizontal,265.123596,0.000000,1.237007,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908024,success,success,True,standard,False,horizontal,246.696625,0.000000,1.114882,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908025,success,success,True,standard,False,horizontal,237.931030,0.000000,0.737231,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908026,success,success,True,standard,False,slanted,237.409088,0.000000,0.616268,3,True,True,[]
raw-ACMP,DEBY_LOD2_4908027,success,success,True,standard,False,horizontal,216.965515,0.000000,0.658327,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908028,success,success,True,standard,False,horizontal,178.636368,0.000000,2.849368,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908044,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,4.800000,0.865591,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908045,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,4.421052,0.915179,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908046,failure,missing_lod22_geometry,True,standard,False,slanted,45.067669,0.522442,0.000000,4,False,True,[]
raw-ACMP,DEBY_LOD2_4908048,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,52.985508,0.494505,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908049,failure,pointcloud_unusable_no_points,True,skip,True,no points,52.314606,0.543590,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908050,failure,missing_lod22_geometry,True,standard,False,horizontal,91.076210,0.179924,0.000000,1,False,True,[]
raw-ACMP,DEBY_LOD2_4908051,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,4.333333,0.957597,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908052,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.956370,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908053,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.986301,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908054,success,success,True,standard,False,slanted,6.000000,0.894737,11.908687,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908059,failure,pointcloud_unusable_no_points,True,skip,True,no points,5.297297,0.893678,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908157,success,success,True,standard,False,slanted,4.682927,0.937784,11.826742,2,True,True,[]
raw-ACMP,DEBY_LOD2_4908158,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.470588,0.976744,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908159,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.980000,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908160,failure,pointcloud_unusable_no_points,True,skip,True,no points,0.000000,1.000000,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908161,success,success,True,standard,False,slanted,4.273973,0.960022,9.003970,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908162,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.983294,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908163,failure,val3dity_invalid,True,standard,False,slanted,32.400002,0.911504,4.135791,1,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908163-0|geom=0|shell=0|face="",""info"":""Location hole: (690841, 5.3362e+06, 568.179)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_4908163-0|geom=0|shell=0|face="",""info"":""Location hole: (690832, 5.3362e+06, 568.179)""}]"
raw-ACMP,DEBY_LOD2_4908164,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.932836,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908165,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.918919,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908166,failure,pointcloud_unusable_no_points,True,skip,True,no points,93.918365,0.169492,,0,False,True,[]
raw-ACMP,DEBY_LOD2_4908167,success,success,True,standard,False,horizontal,4.875000,0.761194,18.884047,1,True,True,[]
raw-ACMP,DEBY_LOD2_4908168,success,success,True,standard,False,slanted,86.258064,0.456140,0.736838,2,True,True,[]
raw-ACMP,DEBY_LOD2_4908169,success,success,True,standard,False,slanted,14.909091,0.838235,2.753912,2,True,True,[]
