setting,mean_coverage_post_sor,mean_correctness,median_ref_rms_m,has_lod22,val3dity_valid,coverage_delta_vs_base,correctness_delta_vs_base,median_ref_rms_delta_vs_base,tradeoff_note
base,,,,0,0,,,,insufficient
voxel02,0.0583,0.7667,1.8079,3,7,,,,insufficient
